"Id";"Score";"text";"data"
"1";1;"0.546757221221924";"Diante de mais demil torcedores Cruzeiro vence oAméricaMG porae se classifica para a final do Campeon…";2019-04-06 21:16:25
"2";2;"0.51726371049881";"Cruzeiro vence o AméricaMG novamente e está na final do Campeonato Mineiro";2019-04-06 20:54:49
"3";3;"0.575800716876984";"Ulisses fala sobre duelo com o AmericaMG e entrosamento com Kainandro

Saiba mais";2019-04-08 16:33:34
"4";4;"0.640608191490173";"LotogolResultado do Concursorealizado emPALMEIRASSP X SÃO PAULOSPCRUZEIROMG X AMÉRI…";2019-04-08 18:05:48
"5";5;"0.681363821029663";"LotecaConcursoPALMEIRASSP X SÃO PAULOSPCRUZEIROMG X AMÉRICAMGATLÉTICOGO X…";2019-04-08 18:05:43
"6";6;"0.167155802249908";"Kkkkk eu não entendo de futebol mas sou simpatizante do AméricaMG a torcid…";2019-04-08 17:39:13
"7";7;"0.201906740665436";"PontePretaEmbora tenha responsabilidades mais defensivas Gérson Magrão já igualou o número de gols marcados em…";2019-04-08 17:15:00
"8";8;"0.461606204509735";"Ala dnv falando de conmebol e campeonato ruralmano vai lá ver quem tem mais títulos o América Mg o…";2019-04-08 17:08:32
"9";9;"0.584145665168762";"COPA DO BRASIL 


BOTAFOGO DA PARAIBA x
Gremio xELIMINADO

 
Inter x Classificado no g…";2019-04-08 15:45:04
"10";10;"0.458962947130203";"Mesmo tendo perdido o pênalti Zé Rafael entrou bem demais ontem e o Dudu tá desaparecido desde o jogo contra o América Mg";2019-04-08 15:23:50
"11";11;"0.54075562953949";"Cruzeiro X AméricaMGMineiro";2019-04-08 14:47:16
"12";12;"0.640353977680206";"Uma injustiça é falar que esse time chorão é o melhor do país os cara jogar contra AMÉRICA mg é fácil contr…";2019-04-08 14:47:06
"13";13;"0.54075562953949";"RafinhaCruzeiro X AméricaMGMineiro";2019-04-08 14:45:15
"14";14;"0.567797422409058";"Times da Capital no Brasileirão 

SP Palmeiras Corinthians São Paulo A
RJ Flamengo Vasco Fl…";2019-04-08 14:40:57
"15";15;"0.454368323087692";"A vdd é que hj ñ tem NINGUÉM no campo que represente a torcida Ídolo que coma a bola contra Améric…";2019-04-08 14:40:06
"16";16;"0.648185014724731";"Uma injustiça é falar que esse time chorão é o melhor do país os cara jogar contra AMÉRICA mg é fá…";2019-04-08 14:37:21
"17";17;"0.300579965114594";"Esse um que ele errou parou na molhada arquibancada do Bento Freitas naquele fatídico…";2019-04-08 14:36:08
"18";18;"0.497720301151276";"Copa do Brasil Sub Ulisses fala sobre duelo com o AmericaMG e entrosamento com Kainandro";2019-04-08 14:33:59
"19";19;"0.29765659570694";"Sub Ulisses projeta duelo contra o AméricaMG pela Copa do Brasil";2019-04-08 14:20:10
"20";20;"0.682023763656616";"Mais uma final no fraquíssimo rural 

Cruzeiro vence América MG com folga e classificase para a final…";2019-04-08 09:50:45
"21";21;"0.589320302009583";"O certo que se for no MineirãoCRUZEIRO jogará as duas em casa ouse as franga tiver se Borrando um j…";2019-04-08 09:48:23
"22";22;"0.458169758319855";"Treinador acredita que erros defensivos foram principais motivos da eliminação para o Cruzeiro";2019-04-08 08:41:57
"23";23;"0.656780898571014";"Em entrevista emocionante Luan abre o jogo sobre sonho de conquistar algum bicampeonato pelo AtléticoMG Eu daria o…";2019-04-08 01:36:56
"24";24;"0.559387028217316";"Diante de mais demil torcedores Cruzeiro vence o AméricaMG porae se classifica para a final do Campeonato…";2019-04-07 23:00:02
"25";25;"0.457853078842163";"a minha foi na festa do tetra eme num flaxflu emmas ficou na mista pq é flamenguista o…";2019-04-07 22:22:52
"26";26;"0.834051311016083";"Como eu disse tem boas ideias mas precisa evoluir e pode já os demais que citei ali em cima são…";2019-04-07 22:16:59
"27";27;"0.546757221221924";"Diante de mais demil torcedores Cruzeiro vence oAméricaMG porae se classifica para a final do Campeonato Mineir…";2019-04-07 21:22:26
"28";28;"0.532539427280426";"CruzeiroxAmérica MG";2019-04-07 21:00:33
"29";29;"0.471429824829102";"Nossa caralho em Pararão GeralA Torcida Do América MG tem mais torcedor que manifestante";2019-04-07 20:46:25
"30";30;"0.551958799362183";"Rafinha x AméricaMG <U+26BD>
NasBatalhasComOCruzeiro";2019-04-07 20:19:39
"31";31;"0.559387028217316";"Diante de mais demil torcedores Cruzeiro vence o AméricaMG porae se classifica para a final do Campeona…";2019-04-07 19:51:05
"32";32;"0.622892677783966";"Ao descobrir que no Equador existe a cerveja com o maior teor alcoólico do mundo Thiago Neves se recupera milagrosame…";2019-04-07 19:41:20
"33";33;"0.86310201883316";"Mas nutro grande simpatia pelo AméricaMG";2019-04-07 19:38:34
"34";34;"0.592691779136658";"e vcs clube pequeno até hj o América MG é maior q a galinha pintadinha";2019-04-07 19:18:52
"35";35;"0.361804693937302";"O campeonato ja tinha acaba a muito tempo isúltimos jogos do Palmeiras seriacontra Vasco e América m…";2019-04-07 18:09:43
"36";36;"0.681176126003265";"NasBatalhasComOCruzeiro
Sábado diaé dia de futebol no Tempero Mineiro Bar às h direto do Mineirãox…";2019-04-07 17:55:58
"37";37;"0.455942541360855";"Quantos gols anulados nessas semi finais de estaduais

 do Palmeiras
 do Atlético MG no primeiro jogo e maisno segundo
 do América MG";2019-04-07 17:42:57
"38";38;"0.569702327251434";"Saiba qual é o próximo jogo do AméricaMG após a eliminação para o Cruzeiro";2019-04-07 17:08:39
"39";39;"0.50970584154129";"Tem que emprestar ele pra um América MG isso sim";2019-04-07 16:48:58
"40";40;"0.574359118938446";"Cruzeiro bate AméricaMG porae vai à decisão do Mineiro";2019-04-07 16:47:23
"41";41;"0.643491208553314";"<U+0001F43A>x América MG<U+0001F430>
Público Presente 
Público Pagante
…";2019-04-07 16:09:27
"42";42;"0.598226487636566";"Cruzeiro bate AméricaMG porae vai à decisão diante demil";2019-04-07 15:30:09
"43";43;"0.5216064453125";"Cruzeiro vence AméricaMG outra vez e avança para a final do Mineiro";2019-04-07 14:20:52
"44";44;"0.734973073005676";"Resultados importantes do dia

Flamengo x Fluminense
Internacional x Caxias
Cruzeiro x América MG";2019-04-07 14:11:17
"45";45;"0.74183976650238";"<U+0001F3C6>Campeonato Mineiro<U+0001F3C6>

 Semi Final 
América MGxCruzeiro
CruzeiroxAmérica MG

Boa EsportexAtlétic…";2019-04-07 13:38:15
"46";46;"0.722065806388855";"futebol campeonato mineiro
semifinal jogo de volta

No Mineirãohs
Atlético Mineiro x Boa Esporte
 jogo…";2019-04-07 12:50:00
"47";47;"0.572176098823547";"Rafinha faz o terceiro do Cruzeiro contra o AméricaMG Siga a semifinal do Mineiro em tempo real…";2019-04-06 20:53:32
"48";48;"0.551958799362183";"<U+25CF> CAMPEONATO MINEIRO <U+25CF>
GOOOOOOOOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLL DO CRUZEIRO RAFINHA

Cruzeiro x Amé…";2019-04-06 20:52:27
"49";49;"0.595912992954254";"Goool do Cruzeiro x no AméricaMG";2019-04-06 20:52:26
"50";50;"0.930038750171661";"Como é bom o Matheuzinho do América MG Ferinha";2019-04-06 20:51:00
"51";51;"0.764624357223511";"Rapaz o senhor Antônio vender de Menezes pode ganhar oqie for no Cruzeiro que nunca terá minha simpati…";2019-04-06 20:50:11
