Id;Score;text;data;
1;1;0.537873208522797;tweeted Os pr√ximos advers√rios s√o;13/10/2018 12:00
2;2;0.994322776794434;tweetedMessias zagueiro do Am√rica MG seria uma boa contrata√√o para o flamengo Zagueiro forte de boa t√cnica e velocidade ra‚Ä;15/10/2018 17:42
3;3;0.484110325574875;tweeted Pra mim os times que vao cai pra serie B esse ano;13/10/2018 12:00
4;4;0.484031140804291;Paran√;13/10/2018 12:00
5;5;0.532539427280426;America mg;13/10/2018 12:00
6;6;0.548662841320038;tweetedParan√ Am√rica MG sport e chapecoense;15/10/2018 17:29
7;7;0.561454176902771;tweeted ExAm√ricaMG Bill comemora artilharia na Tail√ndia;15/10/2018 17:19
8;8;0.467768907546997;tweetedMinha sele√√o do ¬ turno do Brasileiro;13/10/2018 12:00
9;9;0.532539427280426;Jo√o Ricardo Am√rica MG;13/10/2018 12:00
10;10;0.434681177139282;Milit√o SPFC;13/10/2018 12:00
11;11;0.5;Arboleda SPFC;13/10/2018 12:00
12;12;0.5;Cuesta Inter;13/10/2018 12:00
13;13;0.5;Ren√ Fl‚Ä;15/10/2018 17:15
14;14;0.521235585212708;tweetedO flu quer virar o america mg;15/10/2018 17:15
15;15;0.781427264213562;tweetedAm√rica MG o primeiro a garantir o acesso Goleiro Jo√o Ricardo e jovem zagueiro Messias jogariam em time grande facilmente;15/10/2018 17:14
16;16;0.32404425740242;tweetedPrecisamos urgente de um goleiro J√lio C√sar n√s j√ sabemos que n√o passa nenhuma confian√a e espero que Abad e Abel ten‚Ä;15/10/2018 17:14
17;17;0.521962702274323;tweeted Goleiro j√ tem em m√os uma proposta do Fluminense;15/10/2018 17:13
18;18;0.56815493106842;tweeted Flu faz proposta oficial por goleiro do Am√ricaMG visando a pr√xima temporada diz comentarista‚Ä;15/10/2018 17:09
19;19;0.521962702274323;tweeted Goleiro j√ tem em m√os uma proposta do Fluminense SF;15/10/2018 17:01
20;20;0.544147789478302;tweeted Fluminense formaliza proposta por goleiro do Am√ricaMG informa jornalista ET;15/10/2018 17:00
21;21;0.353565633296967;tweeted Cear√ Am√rica MG e Paran√ S√ a√ tempontos que o inter n√o faz nem;15/10/2018 16:58
22;22;0.5;tweeted Flu;13/10/2018 12:00
23;23;0.538773596286774;Lat direito Aderlan America MG est√ na pauta tricolor;15/10/2018 16:52
24;24;0.414775103330612;tweetedfoi esse o arbitro que nao deu dois penaltis pra gente contra o am√rica mg;15/10/2018 16:51
25;25;0.573165774345398;tweeted Em fim de contrato com o Am√ricaMG goleiro Jo√o Ricardo est√ na mira dos grandes e j√ tem proposta do Fluminense‚Ä;15/10/2018 16:39
26;26;0.5;tweeted FSRADIOBRASIL;13/10/2018 12:00
27;27;0.5;BENJAAAAAAAAAAAAAA;13/10/2018 12:00
28;28;0.243768066167831;O FLAMENGO N√ÉO VAI SER CAMPE√ÉO PQ FOI INCOMPETENTE;13/10/2018 12:00
29;29;0.377846419811249;PERDEU PONTOS PRA TIME‚Ä;15/10/2018 16:21
30;30;0.603544116020203;tweetedMessias comemora marca dejogos com a camisa do Am√rica;13/10/2018 12:00
31;31;0.306710302829742;tweetedAcho que v√o todos pro jogo O √nico que talvez fique de fora √ o Ramiro que vai tenta‚Ä;15/10/2018 16:11
32;32;0.561299324035645;tweetedO ideal pra o s√opaulo √ a soma do √til com o agrad√vel a√ a diretoria ver qemO‚Ä;15/10/2018 16:06
33;33;0.482703387737274;Assist√ncias p Finaliza√√o;13/10/2018 12:00
34;34;0.5;‚ñ Cazares;13/10/2018 12:00
