"Id";"Score";"text";"data"
"1";1;"0.321925461292267";"Emeu interpretei Rosário uma imigrante irregular em América Tenho muito orgulho de ter mostrado um pouco o…";2019-03-21 11:02:58
"2";2;"0.856676280498505";"natural <U+0001F44C>

FiveFeetApart natural colemsprouse moovies photos colesprouse america";2019-03-21 15:23:35
"3";3;"0.26564759016037";"Emeu interpretei Rosário uma imigrante irregular em América Tenho muito orgulho de ter mostrado um pouco o drama d…";2019-03-21 12:39:45
"4";4;"0.362507045269012";"Seguime
bailarinas pasion america cumbia tv sabado beauty instagram dancers
bailarinadepasion pasiondesabado a…";2019-03-21 12:01:42
"5";5;"1";"Marchat AM Good MorningHave A Nice Day BuenasQue tengan un Excelente Día Bom DiaDesejo…";2019-03-21 08:00:07
"6";6;"0.557463467121124";"Virgin estreia na América do Sul com voo São PauloLondres";2019-03-21 06:52:56
"7";7;"0.0204770863056183";"Eu disse que não dariaamericanos Bateu viu Públicopessoas Renda RLamentável Nunca fiz jog…";2019-03-21 00:11:53
"8";8;"0.0760963559150696";"Eu disse que não dariaamericanos Bateu viu Públicopessoas Renda RLamentável Nunca fi…";2019-03-20 23:58:14
"9";9;"0.360385566949844";"Seguime
bailarinas pasion america cumbia tv sabado beauty instagram dancers
bailarinadepasion…";2019-03-20 23:56:40
"10";10;"0.568169832229614";"Vários copos foram atirados no símbolo doapós o empate doObjetos vieram da torcida do Bu…";2019-03-20 23:15:11
"11";11;"0.58150851726532";"A empresa Aérea europeia Virgin estreia na América do Sul com um Voo diário entre São Paulo e Londres…";2019-03-20 22:27:48
"12";12;"0.90388011932373";"Respeitem o campeão do continente Furacão Libertadores campeão América curitiba Parana Brasil";2019-03-20 22:23:20
"13";13;"0";"Público muito ruim paraxAntes do jogo começar em alguns momentos a torcida do Bugre faz até…";2019-03-20 21:38:21
"14";14;"0.0550743639469147";"Público muito ruim paraxAntes do jogo começar em alguns momentos a torcida do Bugre fa…";2019-03-20 21:21:38
"15";15;"0.159513652324677";"<U+26BD><U+FE0F> AMÉRICA Tem novidades na equipe dopara enfrentar ologo mais no Indepa Não é uma só…";2019-03-20 21:04:10
"16";16;"0.723491787910461";"<U+26BD><U+FE0F>AMÉRICA O Coelho definido e com novidades no Independência Via";2019-03-20 21:02:07
"17";17;"0.598403692245483";"AMERICA Glauco Ronaldo Jussani Paulão e João Paulo Zé Ricardo Juninho Neto Berola Marcelo Toscano e Felipe…";2019-03-20 21:01:19
"18";18;"0.600971162319183";"<U+26BD><U+FE0F>AMÉRICAClassificado Time Subdoestá classificado para a próxima fase da Copa do Brasil Sub …";2019-03-20 20:27:24
"19";19;"0.628994464874268";"America Atletico e Cruzeiro em campo hoje pela última rodada da fase classificatória do campeonato Mineiro
AlterosaEsporte";2019-03-20 20:16:44
"20";20;"0.467575311660767";"Ona liderança do campeonato mineiro E igual aqueles caras que corre a Sãosilvestre e sai na frente todo…";2019-03-20 18:54:45
"21";21;"0.831863105297089";"Excelente
 postar NORTE americano
Pq americanos TODOS somos nesse
Continente chamado América";2019-03-20 14:04:46
"22";22;"0.565337538719177";"Desarme é Desarme O americamg do volante flaviosilva visita o MaríliaMA às h pela Copa do Brasil Sub…";2019-03-20 14:01:50
"23";23;"0.540776669979095";"Desarme é Desarme Odo volantevisita o MaríliaMA às h pela Copa do Brasil Sub…";2019-03-20 14:00:28
"24";24;"0.426119923591614";"Bolsonaro viaja ao Chile para se reunir com líderes da América do Sul";2019-03-20 09:38:53
"25";25;"0.236292660236359";"lt Latino AMERICANO<U+2714><U+FE0F>

América éCONTINENTE não um país

igned by a backyard citizen if you prefer <U+0001F928>";2019-03-20 09:38:03
"26";26;"0.5259068608284";"A história do clássico maia Popol Vuh a raiz da palavra antiga";2019-03-20 03:23:52
"27";27;"0.502121448516846";"RESULTADOS Serie A FechaLigaProBancoPichincha

MushucRunaIndDelValle 
OlmedoGuayaquilCityFC …";2019-03-19 23:04:51
"28";28;"0.461207032203674";"Lembrando que no dia do jogo é preciso levar o ingresso mais produto de higiene feminina

FutebolMineiro…";2019-03-19 21:50:29
"29";29;"0.665634274482727";"Deixamos a América Discordo disso Continuam na America América em primeiro lugar é um continente";2019-03-19 21:19:10
"30";30;"0.533546209335327";"AmericaA Horse With No Name

america folk guitar acoustic guitarcover acousticguitar ahorsewithnoname…";2019-03-19 19:42:55
"31";31;"0.659675478935242";"Sentindo que vem CamaDeGato MulheresApaixonadas AFavorita VídeoGame PontoAPonto América OClone SolDeVerão ASuc…";2019-03-19 17:17:29
"32";32;"0.453040242195129";"<U+26BD><U+FE0F>AMÉRICA Conforne antecipado mais cedo no Radio Esportes ofechou seu quinto patrocínio de uniforme…";2019-03-19 15:31:28
"33";33;"0.509599506855011";"Corrupt Corporate Media CCM
MAGA WWGWGA TheGreatAwakening 
VOTE America";2019-03-19 11:50:08
"34";34;"0.515798211097717";"LigaMX <U+0001F1F2><U+0001F1FD> Posiciones
 Leonpts
 Tigrespts
 Monterreypts
 Americapts
 Tijuanapts
 …";2019-03-19 11:34:30
"35";35;"0.150707066059113";"América falha nos testes mais difíceis da temporada e precisa dar resposta SuperFC America Coelho Falhou…";2019-03-19 10:57:47
"36";36;"0.614107310771942";"O antiamericanismo brasileiro é mais vadio e viralata que qualquer acordo com os Estados Unidos da América Obs…";2019-03-19 09:44:03
"37";37;"0.581343293190002";"Dalhe Presida Bolsonaro Brasil Brazil USA America Trump Trump BolsonaroPresidente Bolsonaro";2019-03-19 08:09:04
"38";38;"0.973754167556763";"Poruma América Livre Grande e Forte";2019-03-19 07:36:21
"39";39;"0.539880216121674";"Nosso presidente jairmessiasbolsonaro na america";2019-03-18 23:58:26
"40";40;"0.432531654834747";"‘Mercosul se tornou instrumento para manter EUA longe da América Latina diz…";2019-03-18 22:37:02
