Id;Score;text;data;
1;1;0.742396473884583;"FORMADA enfim publicitária <U+0001F393>

pp publicidadeepropaganda publicitaria formada formatura anhanguera amo…";21/03/2019 16:16
2;2;0.461695075035095;Mais uma do espelho sujo LifeStyle ChegouOFriozinho Espelho Hashtag Cap Friozinho;21/03/2019 14:49
3;3;0.634034156799316;"CAMPEONATO PARANAENSE

Nesta quartaese enfrentaram na Arena da Baixada e o time d…";21/03/2019 14:43
4;4;0.5;<U+0001F5E3>;21/03/2019 11:09
5;5;0.442164361476898;Eu tirei Thiago Heleno E você;21/03/2019 00:22
6;6;0.488211035728455;Eu tirei Léo Pereira E você;21/03/2019 00:07
7;7;0.534902930259705;É isso aí meu furacão <U+0001F44A><U+0001F3FC> mais uma pra conta <U+2665><U+FE0F><U+0001F5A4><U+26BD><U+FE0F> pracimadelesmeufuracao CAP orgulhoegratidao;20/03/2019 23:26
8;8;1;"Entrei nessa brincadeira e gostei tirar o Th é uma honra
Eu tirei Thiago Heleno E você…";20/03/2019 23:22
9;9;0.529819488525391;TMais três minutos na Arena CAPxOFEC TRNEC Paranaense;20/03/2019 23:18
10;10;0.780886888504028;"TJaderson abre uma fábrica de canetas em cima de Sosa CAPxOFEC Paranaense 

O TRNEC tem apoio…";20/03/2019 23:17
11;11;0.389654338359833;TNO TRAVESSÃO Cleyton bate firme de perna direita e ela explode no travessão No rebote Índio quase faz…;20/03/2019 23:16
12;12;0.581953704357147;TOperário toca a bola sem pressa neste momento CAPxOFEC TRNEC Paranaense;20/03/2019 23:15
13;13;0.732524514198303;TBruno Batata limpa para o pé direito e finaliza Léo segura firme CAPxOFEC TRNEC Paranaense;20/03/2019 23:09
14;14;0.413299888372421;TQUASEEE Cleyton ganha no pé de ferro mas o chute cruzado vai pra fora CAPxOFEC TRNEC Paranaense;20/03/2019 22:59
15;15;0.442164361476898;Eu tirei Alex Mineiro E você;20/03/2019 22:58
16;16;0.848764777183533;"TBergson é o novo capitão do Athletico CAPxOFEC Paranaense 

O TRNEC tem apoio de Servtintas";20/03/2019 22:56
17;17;0.257373064756393;TÍndio bate de fora da área e a bola vai longe muito longe CAPxOFEC TRNEC Paranaense;20/03/2019 22:49
18;18;0.570292830467224;TNo segundo tempo Chicão cobre o lado direito onde estava Léo CAPxOFEC TRNEC Paranaense;20/03/2019 22:43
19;19;0.601668417453766;TPERIGO Jaderson invade a área e bate cruzado A bola vai pela linha de fundo CAPxOFEC TRNEC Paranaense;20/03/2019 22:41
20;20;0.234702825546265;TAMARELO Vitinho do Athletico por falta em Robinho CAPxOFEC TRNEC Paranaense;20/03/2019 22:40
21;21;0.46568751335144;TMAIS UMA Bergson de novo cabeceia e desta vez ela vai por cima CAPxOFEC TRNEC Paranaense;20/03/2019 22:39
22;22;0.532703518867493;TUHHH Bergson divide com a marcação e cabeceia pra fora CAPxOFEC TRNEC Paranaense;20/03/2019 22:38
23;23;0.41076523065567;TSosa recebe atendimento médico CAPxOFEC TRNEC Paranaense;20/03/2019 22:35
24;24;0.32567971944809;TChute de Marquinho explode em Sosa e o zagueiro fica caído no gramado Essa doeu aqui CAPxOFEC TRNEC Paranaense;20/03/2019 22:35
25;25;0.4135662317276;TOperário e Athletico voltam dos vestiários sem mudanças para a etapa complementar CAPxOFEC TRNEC Paranaense;20/03/2019 22:34
26;26;0.338420987129211;TSosa é atendido no gramado CAPxOFEC TRNEC Paranaense;20/03/2019 22:17
27;27;0.236173093318939;TBatatinha tenta jogar sozinho e perde a bola no ataque CAPxOFEC TRNEC Paranaense;20/03/2019 22:16
28;28;0.420928001403809;TDois minutos de acréscimo em Curitiba CAPxOFEC TRNEC Paranaense;20/03/2019 22:15
29;29;0.546154677867889;TSó dá Athletico na Arena CAPxOFEC TRNEC Paranaense;20/03/2019 22:14
30;30;0.903617978096008;"TVitinho aparece livre na área mas cabeceia pra fora CAPxOFEC Paranaense

O TRNEC tem apoio…";20/03/2019 22:11
31;31;0.503840565681458;TFUROOOOOOOOOUU Rafinha recebe no meio da área e de frente pro gol erra a bola CAPxOFEC TRNEC P…;20/03/2019 22:10
32;32;0.521137177944183;TFUROOOOOOOOOUU Rafinha recebe no meio da área e de frente pro gol erra a bola CAPxOFEC TRNEC…;20/03/2019 22:09
33;33;0.582213699817657;TGersinho fica na bronca com a arbitragem CAPxOFEC TRNEC Paranaense;20/03/2019 22:08
34;34;0;TNo primeiro lance Léo recebeu o amarelo por reclamação na segunda jogada a falta de fato foi para cartã…;20/03/2019 22:08
35;35;0.502121448516846;TAgora complicou a vida do Operário CAPxOFEC TRNEC Paranaense;20/03/2019 22:07
36;36;0.355410993099213;TVERMELHO Léo comete falta na direita e recebe o segundo amarelo Expulso o lateral do Fantasma CAPx …;20/03/2019 22:07
37;37;0.0942959189414978;TRafinha arrisca de longe e o chute sai fraco CAPxOFEC TRNEC Paranaense;20/03/2019 22:05
38;38;0;TUHHHH Khellven cobra falta cruzada e a bola passa perto Fantasma sofre na bola parada CAPxOFEC TRNEC Paranaense;20/03/2019 22:04
39;39;0.519209742546082;TAMARELO Antes do gol athleticano o lateral Léo do Operário levou o cartão CAPxOFEC TRNEC Paranaense;20/03/2019 22:00
40;40;0.546046614646912;TAMARELO Léo Cittadini do Athletico CAPxOFEC TRNEC Paranaense;20/03/2019 21:59
41;41;0.338931024074554;TOperário domina a posse enquanto o Athletico é efetivo no ataque CAPxOFEC TRNEC Paranaense;20/03/2019 21:58
42;42;0.544143974781036;TNA TRAVE Léo Cittadini chuta de fora da área e com efeito ela explode na trave de Simão CAPx …;20/03/2019 21:56
43;43;0.274279057979584;TASSIM NÃO Batatinha fica de cara para Léo e bate em cima do goleiro CAPxOFEC TRNEC Paranaense;20/03/2019 21:53
44;44;0.0386949777603149;TIMPEDIDO Lucas Batatinha pega a sobra na área e marca mas a arbitragem anota o impedimento do ataque alv…;20/03/2019 21:53
45;45;0.495162516832352;TChicão vai com vontade e levanta demais a perna quase atingindo o rosto de Marquinho CAPxOFEC…;20/03/2019 21:51
46;46;0.847583532333374;Acho q é o gol mais bonito do campeonato CAP;20/03/2019 21:50
47;47;0.546412765979767;TBergson vai para o drible e Alisson ganha limpo na jogada CAPxOFEC TRNEC Paranaense;20/03/2019 21:49
48;48;0.282693147659302;TKhellven cobra falta e ela fica na rede pelo lado de fora CAPxOFEC TRNEC Paranaense;20/03/2019 21:48
49;49;0.688887059688568;TCleyton cobra e Léo defende no canto com tranquilidade CAPxOFEC TRNEC Paranaense;20/03/2019 21:46
50;50;0.219488024711609;TRossetto coloca a mão na bola Falta frontal de longa distância para o Fantasma CAPxOFEC TRNEC Paranaense;20/03/2019 21:45
51;51;0.658195197582245;TAthletico também tenta sair jogando bonito no campo de defesa e se complica CAPxOFEC TRNEC Paranaense;20/03/2019 21:43
52;52;0.588354468345642;TDefesa do Athletico é pressionada A bola sobra com Lucas Batatinha que bate de primeira Léo encaixa no…;20/03/2019 21:42
53;53;1;"TLucas Batatinha gira cruza mas joga nas mãos de Léo CAPxOFEC Paranaense

O TRNEC tem apoio…";20/03/2019 21:41
54;54;0.251458048820496;TOperário tem dificuldade para sair jogando no campo defensivo CAPxOFEC TRNEC Paranaense;20/03/2019 21:39
