Id;Score;text;;data
1;1;0.810007691383362;tweetedüé Confira os melhores momentos da goleada do Galo sobre o Sport;01/10/2018 18:00
2;2;0.500174760818481;tweetedRicardo Oliveira pelo Galo;01/10/2018 18:00
3;3;0.239944517612457;tweetedNovo recorde da Arena Independ√ncia P√blicotorcedores Renda R;01/10/2018 18:00
4;4;0.494821190834045;tweetedGOOOOOOOOOOOOOOOOOOOLLL DO GAAAAAAALLLLOOOOOOOOOOOOOOO GALO CAMxSPO AMassaJogaJunto TimeDeTodos üü;01/10/2018 18:00
5;5;0.504536151885986;tweetedDEIXA DE BOBEIRA DEIXA DE BOBAGEM üéüéüé;01/10/2018 18:00
6;6;0.954545438289642;tweetedEscolhido pela Massa Diz a√ quem foi o melhor em campo na goleada do Atl√tico sobre o Sport no Horto pelo Brasileir√o‚Ä;01/10/2018 18:00
7;7;0.746186494827271;tweetedGalo goleia no Horto e abre vantagem no G;01/10/2018 18:00
8;8;0.5;tweeted;01/10/2018 18:00
9;9;0.512531757354736;O lateral direito da Chapecoense o Eduardo j√ pertenceu ao Galo;01/10/2018 18:00
10;10;0.508101582527161;tweetedAcabou Fim de jogo no Horto GaloxSport;01/10/2018 18:00
11;11;0.645177841186523;tweetedE o Elias em Vive sendo crucificado pela torcida mas ta sempre deixando seus gols e contribuindo nas vit√rias do Galo;01/10/2018 18:00
12;12;0.513644456863403;tweetedGALO goleou e n√is t√ como;01/10/2018 18:00
13;13;0.778638780117035;tweetedUma semana de paz galo;01/10/2018 18:00
14;14;0.419281005859375;tweeted Hoje foi um jogo at√pico do meu time N√o passei Raiva;01/10/2018 18:00
15;15;0.810007691383362;tweeted üé Confira os melhores momentos da goleada do Galo sobre o Sport;01/10/2018 18:00
16;16;0.412448287010193;Inscrevase no canal dano YouTube‚Ä;01/10/2018 18:00
17;17;0.778638780117035;tweeted Uma semana de paz galo;01/10/2018 18:00
18;18;0.508896708488464;tweeted Coment√rios Atl√ticoMGXSport Campeonato Brasileiro Aqui√Galo Galo GaloDoido;01/10/2018 18:00
19;19;0.545796871185303;tweeted Novo recorde;01/10/2018 18:00
20;20;0.556426405906677;Show do time do galo ena arquibancada;01/10/2018 18:00
21;21;0.283864855766296;tem q trabalhar mais e falar meno‚Ä;01/10/2018 18:00
22;22;0.531334459781647;tweetedObrigado Galo;01/10/2018 18:00
23;23;0.418368458747864;tweeted √ä Galo Futebol √ engra√ado de mais Uma semana as expectativas variam Sofrer com issoNada Bora curtir a vit√ria Galo;01/10/2018 18:00
24;24;0.693021774291992;tweeted Obrigado Galo;01/10/2018 18:00
25;25;0.420289129018784;tweetedpontos com isso alguns Atleticanos tiram f√rias e s√ voltam em;01/10/2018 18:00
26;26;0.90421050786972;tweetedQue alegria Benzadeus Que volt‚Ä;01/10/2018 18:00
27;27;0.272055298089981;tweetedSimples assim O GALO goleou N√o importa contra quem foi O GALO GOLEOU T√ liberado comemorar povo üüü;01/10/2018 18:00
28;28;0.64881956577301;tweeted Hoje foi dia de Galo ‚öÔüìüëäGALO CAMxSPO em Arena Independ√ncia;01/10/2018 18:00
29;29;0.508101582527161;tweetedFim do primeiro tempo no Horto GaloxSport;01/10/2018 18:00
30;30;0.257081687450409;tweeted Galo CAMxSPO ForaCazares ForaPatric ForaThiagoLarghi se analisar o jogo inteiro ver√ cobran√as de falta rid√cu‚Ä;01/10/2018 18:00
31;31;0.532452821731567;tweetedüé Escala√√o do Galo Victor Emerson Leonardo Silva Maidana F√bio Santos Z√ Welison Elias Char√ Cazares Luan e Ricard‚Ä;01/10/2018 18:00
32;32;0.976190447807312;tweeted Al√m dospontos tive a felicidade de pegar a camisa do fabiosantosfs no jogo de hoje Pergunta se tem algu√m fe‚Ä;01/10/2018 18:00
33;33;0.453786909580231;tweeted Galo CAMxSPO ForaCazares ForaPatric ForaThiagoLarghiAgora j√ volta uma infinidade com o mesmo discurso dos √‚Ä;01/10/2018 18:00
34;34;0.737135469913483;tweetedFocoParte pra cimaCarreira √ curtaP√e na cabe√a que pode ser um dos melhores do mundoDeixe pra ap‚Ä;01/10/2018 18:00
35;35;0.554307818412781;tweetedChar√ invade a √rea e toca Elias chuta no cantinho e manda a bola para o fundo do goooooooooooooooooooooooooooooooooooo‚Ä;01/10/2018 18:00
36;36;0.580879330635071;tweetedF√bio Santos cobra p√nalti manda a bola para o fundo do goooooooooooooooooooooooooooooooooooooooool e vira o jogo para‚Ä;01/10/2018 18:00
37;37;0.467436492443085;tweeted A semana √ outra quando esse time ganha e resolve jogar Eu te amo Galo;01/10/2018 18:00
38;38;0.639461398124695;tweeted Galo CAMxSPO ForaCazares ForaPatric ForaThiagoLarghi de cabe√a fria vamos analisar Cazares s√ apareceu para‚Ä;01/10/2018 18:00
39;39;0.62639307975769;tweetedFim de primeiro tempo o Galo d√ um show em campo e a torcida na arquibancada;01/10/2018 18:00
40;40;0.472835838794708;tweetedQuem tem hist√ria tem tudo Futebol √ pol√tico sim Respeita nossa hist√ria respeitem o Reielen√o Gal‚Ä;01/10/2018 18:00
41;41;0.515552580356598;tweetedCazares faz o quarto gol do Galo no Horto;01/10/2018 18:00
42;42;0.494821190834045;tweetedElias pelo Galo;01/10/2018 18:00
43;43;0.5;jogos;01/10/2018 18:00
44;44;0.544199585914612;gols;01/10/2018 18:00
45;45;0.486112922430038;Na temporada;01/10/2018 18:00
46;46;0.5;assist√ncias;01/10/2018 18:00
47;47;0.5;AMassaJogaMuito‚Ä;01/10/2018 18:00
48;48;0.551614761352539;tweeted Quem tem hist√ria tem tudo Futebol √ pol√tico sim Respeita nossa hist√ria respeitem o Rei Ä;01/10/2018 18:00
49;49;0.494821190834045;tweetedCazares pelo Galo;01/10/2018 18:00
50;50;0.5;FalaGalo AMas‚Ä;01/10/2018 18:00
51;51;0.467657804489136;tweetedIago Maidana recebe o terceiro cart√o amarelo e desfalca o Galo contra a Chapecoense;01/10/2018 18:00
52;52;0.5;FalaGalo AMassaJogaJunto;01/10/2018 18:00
53;53;0.530531108379364;tweetedRicardo Oliveira recebe de Cazares toca na sa√da do goleiro e manda pro fundo do goooooooooooooooooooooooooooooooooooo‚Ä;01/10/2018 18:00
54;54;0.5;tweetedGOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO‚Ä;01/10/2018 18:00
55;55;0.5;tweetedEnqueteFalaGalo;01/10/2018 18:00
56;56;0.930970072746277;Quem foi o melhor jogador do Galo na goleada contra o Sport Recife;01/10/2018 18:00
57;57;0.586784780025482;Vote e compartilhe;01/10/2018 18:00
58;58;0.5;FalaGalo AMa‚Ä;01/10/2018 18:00
59;59;0.350499749183655;tweeted Fant√stico vai ter que come√ar mais cedo p dar tempo de mostrar todos os gols do Galo;01/10/2018 18:00
60;60;0.741007685661316;tweeted Galo goleia no Horto e abre vantagem no G;01/10/2018 18:00
61;61;0.645785748958588;Vamos Galo CAMxSPO AMassaJogaJunto‚Ä;01/10/2018 18:00
62;62;0.325655311346054;tweeted Simples assim O GALO goleou N√o importa contra quem foi O GALO GOLEOU T√ liberado comemorar povo üüü;01/10/2018 18:00
63;63;0.107021242380142;tweetedGalo fez oq tinha de fazer goleou Sport √ muito fraco;01/10/2018 18:00
64;64;0.552332878112793;tweetedComo acho q apts do l√der√ tem chance de t√tulo apts do SantosG parece certo cru √ conta v√o ganhar a‚Ä;01/10/2018 18:00
65;65;0.753279328346252;tweetedMesmo porque n√o precisa ser l√ muito bom de mem√ria para saber que geralmente √ nessas pe‚Ä;01/10/2018 18:00
66;66;0.481543958187103;tweetedüôüpontos alcan√ados üôü;01/10/2018 18:00
67;67;0.162718892097473;üó Al√ torcedor que s√ queria isso pra esse ano voc√ acaba de entrar de f√rias e pode guard‚Ä;01/10/2018 18:00
68;68;1;tweetedPartida√aFoco determina√√o e ra√a a cada lance que seu futuro pode ser brilhante üëäüüëäüüëäüüì Vamos GALO;01/10/2018 18:00
69;69;0.763741612434387;tweeted Cazares se vc jogar todos os jogos que faltam assim e o GALO bater campe√o nois compramos a Ambev proc√;01/10/2018 18:00
70;70;0.550139009952545;tweetedGOOOOOOAAAAALLLL Elias AtleticoSport;01/10/2018 18:00
71;71;0.5;tweetedFULLTIME AtleticoSport;01/10/2018 18:00
72;72;0.4944908618927;tweeted O Galo ganhou;01/10/2018 18:00
73;73;0.381624281406403;tweetedCome√a o segundo tempo no Horto;01/10/2018 18:00
74;74;0.639461398124695;Vamos Galo CAMxSPO AMassaJogaJunto üü;01/10/2018 18:00
75;75;0.199813723564148;tweetedCazares cobra falta e manda a bola para a √rea A defesa corta;01/10/2018 18:00
76;76;0.490599632263184;tweeted √â uma pena que est√ e grande Vit√ria do Galo vai abafar;01/10/2018 18:00
77;77;0.502121448516846;A inefici√ncia‚Ä;01/10/2018 18:00
78;78;0.562852561473846;tweetedChar√ cruza para a √rea O zagueiro toca na bola com a m√o P√nalti para o Galo;01/10/2018 18:00
79;79;0.520731389522552;tweetedBola rolando Come√a o jogo no Horto;01/10/2018 18:00
80;80;0.823742985725403;tweeteda√v√ se tem um modo de desvincular a marca do Galo de QUALQUER ato contra ou de apoio a‚Ä;01/10/2018 18:00
81;81;0.508101582527161;tweetedtorcedores no Horto;01/10/2018 18:00
82;82;0.301630765199661;Novo recorde de p√blico da Arena Independ√ncia üë;01/10/2018 18:00
83;83;0.405991494655609;Detalhe n √ p√blico presente c um g‚Ä;01/10/2018 18:00
84;84;0.418853849172592;tweetedQuando o Galo joga a Uber vai junto;01/10/2018 18:00
85;85;0.551930963993073;‚ö Atl√tico x Sport;01/10/2018 18:00
86;86;0.514075517654419;üÜ Campeonato Brasileiro;01/10/2018 18:00
87;87;0.51315701007843;üï h;01/10/2018 18:00
88;88;0.557058334350586;üü Arena Independ√ncia;01/10/2018 18:00
89;89;0.5;üöò V√ de Ä;01/10/2018 18:00
90;90;0.446420669555664;tweetedPresen√a do Pietro conosco ele √ p√ quente Goleada confirmada ‚ö‚ö‚öüìüìüì Galo Cariogalo;01/10/2018 18:00
91;91;0.839967608451843;tweetedüìüé Vamos Massa Publique fotos e v√deos com a tag CAMxSPO para interagir com as redes sociais do Atl√tico;01/10/2018 18:00
92;92;0.605597972869873;Aqui √ Galo‚Ä;01/10/2018 18:00
93;93;0.643715798854828;tweetedüìã Confira titulares e suplentes do Atl√tico para o jogo contra o Sport;01/10/2018 18:00
94;94;0.650982916355133;tweeted E o Elias em Vive sendo crucificado pela torcida mas ta sempre deixando seus gols e contribuindo nas vit√rias do Galo;01/10/2018 18:00
95;95;0.508696436882019;tweetedSubstitui√√o no Atl√tico Edinho entra no lugar de Luan;01/10/2018 18:00
96;96;0.5;tweetedx;01/10/2018 18:00
97;97;0.54075562953949;x;01/10/2018 18:00
98;98;0.637773275375366;E √†s h tem estr√ia do Lebron James no meuamistoso de pr√temporada‚Ä;01/10/2018 18:00
