Id;Score;text;data;
1;1;0.643715798854828;tweetedüìã Confira titulares e suplentes do Atl√tico para o jogo contra o Sport;01/10/2018 18:00
2;2;0.532452821731567;tweetedüé Escala√√o do Galo Victor Emerson Leonardo Silva Maidana F√bio Santos Z√ Welison Elias Char√ Cazares Luan e Ricard‚Ä;01/10/2018 18:00
3;3;0.918533205986023;tweeted GALO definido para o jogo de daqui a pouco Vamos JUNTOSpra VENCER no CAMpo e na arquibancada üëäüüëäüüëäüüì aqui√GALO;01/10/2018 18:00
4;4;0.643715798854828;tweeted üìã Confira titulares e suplentes do Atl√tico para o jogo contra o Sport;01/10/2018 18:00
5;5;0.645785748958588;Vamos Galo CAMxSPO AMassaJogaJunto‚Ä;01/10/2018 18:00
6;6;0.53917396068573;tweeted üé Escala√√o do Galo Victor Emerson Leonardo Silva Maidana F√bio Santos Z√ Welison Elias Char√ Cazares Lua‚Ä;01/10/2018 18:00
7;7;0.895206987857819;tweeted Habilidade √ Habilidade Odo zagueirovisita o Minas Boca √†s h pelo Mineiro Sub;01/10/2018 18:00
8;8;0.5;Galo‚Ä;01/10/2018 18:00
9;9;0.502014815807343;tweeted Pot√ncia √ Pot√ncia Odo lateral direitovisita o Minas Boca √†s h pelo Mineiro Sub‚Ä;01/10/2018 18:00
10;10;0.656387090682983;tweeted O atletico enfrenta oJaj√ pelo campeonatobrasileiro e quando galo joga tem arte do Ä;01/10/2018 18:00
11;11;0.5;tweeted J√ no Indepa;01/10/2018 18:00
12;12;0.54075562953949;No aquecimento pra Vit√ria do x;01/10/2018 18:00
13;13;0.494821190834045;Aqui √ Galo porta;01/10/2018 18:00
14;14;0.5;foraLargui;01/10/2018 18:00
15;15;0.5;Euqueromeugalodevolta;01/10/2018 18:00
16;16;0.643066883087158;tweetedüî‚ö†Ô ATEN√á√ÉO MASSA ‚ö†Ôüî;01/10/2018 18:00
17;17;0.651495277881622;tweetedüé TV GALO AO VIVOPr√jogo Atl√tico x Sport Acompanhe os preparativos para a partida direto do Independ√ncia;01/10/2018 18:00
18;18;0;tweetedMarlone ganhou o pr√mio Pusk√s um ano antes infelizmente n√o deu certo no Galo;01/10/2018 18:00
19;19;0.611947178840637;tweeted A caminho do Horto Galo Atl√tico ClubeAtl√ticoMineiro Aqui√Galo Galo√Galo YesWeCam EuAcredito‚Ä;01/10/2018 18:00
20;20;1;tweeted‚öÔ HOJE TEM GALO Com a for√a da Massa Atl√tico enfrenta o Sport no Horto pela ¬ rodada do Brasileir√o;01/10/2018 18:00
21;21;0.597125887870789;tweetedBuzz do Galo chegando no Horto;01/10/2018 18:00
22;22;0.597125887870789;tweeted Buzz do Galo chegando no Horto;01/10/2018 18:00
23;23;0.643066883087158;tweeted üî‚ö†Ô ATEN√á√ÉO MASSA ‚ö†Ôüî;01/10/2018 18:00
24;24;0.5;ao lado do port‚Ä;01/10/2018 18:00
25;25;0.429349362850189;tweetedAs manifesta√√es pr√contra ideologia pol√tica de alguns exibidas em faixas cartazes entre outros eou expressadas p‚Ä;01/10/2018 18:00
26;26;0.839967608451843;tweetedüìüé Vamos Massa Publique fotos e v√deos com a tag CAMxSPO para interagir com as redes sociais do Atl√tico;01/10/2018 18:00
27;27;0.530415594577789;tweetedDaqui a pouco √†s h opega o Sport Recife em mais uma rodada do Brasileir√o S√rieA A MRVnoEsporte desej‚Ä;01/10/2018 18:00
