"Id";"Score";"text";"data"
"1";1;"1";"<U+0001F3A9><U+0001F919><U+0001F3FE>anos de mágica alegria e futebol arte ParabénsSaúde paz e felicidades sempre Aqui é…";2019-03-21 08:42:06
"2";2;"0.541441142559052";"<U+23F3> Contagem regressiva

Galo GaloAnos";2019-03-20 18:30:33
"3";3;"0.727729678153992";"Se você quiseeeeer <U+0001F3B6>

 é mais um fechadão com a gente na comemoração dosanos E tem mais hein…";2019-03-21 11:42:00
"4";4;"0.494821190834045";"Háanos Galo entrava em campo pelavez";2019-03-21 18:30:55
"5";5;"0.951789855957031";"Parabéns Ronaldinho Gaúcho <U+0001F382><U+0001F44F>
Feliz aniversário
Galo";2019-03-21 18:30:40
"6";6;"0.68114161491394";"Show de Dudu Nobre e promoção de cerveja agitarão o domingo na esplanada do";2019-03-21 18:29:55
"7";7;"0.555554628372192";"Nosso jogo começa com o respeito 

Dia Mundial da Síndrome de Down 

Para dar visibilidade ao tema e combater o prec…";2019-03-21 18:29:45
"8";8;"0.459283322095871";"Nossa GataAtleticana lucianagomesmartins Galo GaloDoido GNV ArenaMRV MulheresnoFutebol AquiéGalo…";2019-03-21 18:29:06
"9";9;"0.722550868988037";"Se você quiseeeeer <U+0001F3B6>

 é mais um fechadão com a gente na comemoração dosanos E tem mais hein <U+0001F4AA><U+0001F3FC>

Galo …";2019-03-21 18:28:46
"10";10;"1";"<U+0001F3A9><U+0001F919><U+0001F3FE>anos de mágica alegria e futebol arte ParabénsSaúde paz e felicidades sempre Aqui é Galo Pampamp…";2019-03-21 18:28:28
"11";11;"0.627750933170319";"<U+0001F3DF> <U+0001F37B> Comemore osanos do Galo noe aproveite a promoção 

<U+0001F37A><U+0001F37A><U+0001F37A> Três cervejas Brahma por R 
<U+0001F551> Domingo a par…";2019-03-21 18:28:11
"12";12;"0.0238095242530107";"Não gostar de um artista ou simplesmente não o conhecer é ok algo normal

Agora o que vem acontecendo nas postag…";2019-03-21 18:25:23
