"Id";"Score";"text";"data"
"1";1;"0.568427205085754";"Corinthians comunica Torino e exerce prioridade em compra de 

Italianos receberão em duas parcelas…";2019-05-26 13:20:55
"2";2;"0.661409556865692";"Malcom se declara ao Corinthians em espanhol confira";2019-05-24 21:38:16
"3";3;"0.896864771842957";"Cássio Ramos o Gigante primeiro de seu nome guardião dastraves campeão da América e do mundo rei de Itaquer…";2019-05-20 13:54:43
"4";4;"0.86898946762085";"<U+0001F3C6><U+0001F3C6>HOJE TEM TIMÃO<U+0001F3C6><U+0001F3C6>
<U+26BD>CORINTHIANS X SÃO PAULO<U+26BD>
<U+0001F3DF><U+FE0F>ARENA CORINTHIANS
<U+0001F3C6>BRASILEIRÃO RODADA
<U+23F0>H
<U+0001F4FA>PREMIERE…";2019-05-26 18:26:44
"5";5;"1";"corinthians
Amor passado de Pai para filho 
Obrigado Pai 
Vai CORINTHIANS";2019-05-26 18:26:26
"6";6;"0.558802723884583";"CORINTHIANS Cássio Fagner Manoel Henrique e Danilo Avelar Ralf Pedrinho Júnior Urso Sornoza e Clayson Vagner L…";2019-05-26 18:26:04
"7";7;"0.644401907920837";"<U+0001F985><U+26BD><U+FE0F><U+0001F47C><U+0001F3FB> Os pendurados do Timão Cássio e Jadson
<U+0001F3DF> Emjogos na Arena contrao SPFC V e egpgc 
Ojo…";2019-05-26 18:25:23
"8";8;"0.558802723884583";"CORINTHIANS Cássio Fagner Manoel Henrique e Danilo Avelar Ralf Pedrinho Júnior Urso Sornoza e Clayson Vag…";2019-05-26 18:24:49
"9";9;"1";"corinthians
Amor passado de Pai para filho
Obrigado Pai
Vai CORINTHIANS";2019-05-26 18:24:48
"10";10;"0.858431458473206";"QUAL O TIME MAIS ODIADO DO BRASIL
FLAxCAP Corinthians Majestoso ForaAbel BrasileirãoNoEI";2019-05-26 18:23:54
"11";11;"0.664836406707764";"Corinthians x São Paulo
Rodadado Brasileirão 

VaiCorinthians SCCP Timão Coringão corinthians Itaquera…";2019-05-26 18:21:15
