"X1";"Score";"text";"data"
"1";1;"0.241115033626556";"<U+26BD><U+FE0F> Cruzeiro palavra oficial do clubeMano Menezes segue como técnico Segundo a assessoria não procedem inform…";2019-06-13 21:16:10
"2";2;"0.58869332075119";"<U+26BD><U+FE0F> Cruzeiro CBF desmembrou os jogos das próximas rodadas do Campeonato Brasileiro

h Cruzeiro x Botaf…";2019-06-14 19:54:17
"3";3;"0.223181247711182";"Crise e resultados ruins pressionam Mano e Cruzeiro estuda troca no comando SuperFC Cruzeiro ManoMenezes…";2019-06-13 11:41:05
"4";4;"0.136144876480103";"Impossível compactuar com o que esses caras estão fazendo com o 
A Guerra só acaba quando ESSES CARAS CAÍREM…";2019-06-15 01:06:16
"5";5;"0.249899536371231";"Torcendo pra tudo ficar pra trás e a partir do diao Cruzeiro que era pra ter entrado em campo emve…";2019-06-15 01:01:18
"6";6;"0.33158665895462";"Malandro é o CruzeiroMG vaidoso que vai passar um mês na zona sem dinheiro";2019-06-15 00:18:47
"7";7;"0.58869332075119";"<U+26BD><U+FE0F> Cruzeiro CBF desmembrou os jogos das próximas rodadas do Campeonato Brasileiro

h Cruzeiro x Botafogo
…";2019-06-14 23:54:00
"8";8;"0.539868712425232";"Torcedores que ja são campeão narodada do brasileirão e comemora rebaixamento do seu maior rival narodada …";2019-06-14 23:46:55
"9";9;"0.367663443088531";"baixou o espírito da torcida do tal CruzeiroMG vaidoso lá no Morumbi todo mundo calado";2019-06-14 23:18:52
"10";10;"0.3115314245224";"CNRD mantém multa por transferência de Fred do Galo para o Cruzeiro SuperFC Cruzeiro Galo Fred LasaroCandido CNRD…";2019-06-14 23:13:23
"11";11;"0.44879874587059";"SÓ ASSIM NÉBRASEL 













cruzeirodadepre Cruzeiro CruzeiroEsporteClube MaiordeMinas…";2019-06-14 23:01:16
"12";12;"0.220112875103951";"Eu nao sei se vcs prestaram atenção Mais depois que a diretoria do Cruzeiro pegou a grana emprestada com o ManoMene…";2019-06-14 22:49:43
"13";13;"0.206118524074554";"Eu nao sei se vcs prestaram atenção Mais depois que a diretoria do Cruzeiro pegou a grana emprestada com o…";2019-06-14 22:46:28
"14";14;"0.3115314245224";"CNRD mantém multa por transferência de Fred do Galo para o Cruzeiro SuperFC Cruzeiro Galo Fred LasaroCandido…";2019-06-14 22:32:41
"15";15;"0";"Eu olho pro M Moreno e meu coração até acelera Ôh saudade Volta pro meu Cruzeiro por favorzinho 

BRAxBOL CopaAmerica";2019-06-14 22:29:55
"16";16;"0.5";"Vida difícilcruzeiro";2019-06-14 22:25:14
"17";17;"0.0684869438409805";"Estou postando essa perna so que ela não e minha E pra mostrar pra vcs que ele tem mais pontos que o …";2019-06-14 22:20:21
