"Id";"Score";"text";"data"
"1";1;"0.224235534667969";"Se Abel Braga não cair hoje teremos uma nota oficial explicando o porquê Flamengo";2019-05-26 17:33:36
"2";2;"0.54075562953949";"FLAMENGO X ATHLETICOPRRODADA BRASILEIRÃONARRAÇÃO RUBRONEGRAse inscreva em";2019-05-26 15:46:23
"3";3;"0.642828583717346";"O Flamengo enfrenta o AthleticoPR hoje às h no Maracanã peloO técnico Abel Braga terá dois d…";2019-05-26 10:38:16
"4";4;"0.478575825691223";"Isso aqui é Flamengo

Ah ForaAbel 
CRF 
FLAxCAP 
Flamengo";2019-05-26 18:29:09
"5";5;"0.714463233947754";"Oé maravilhoso mas às vezes parece a Plataforma Lattes flamengo Brasileirao";2019-05-26 18:29:09
"6";6;"0";"ForaAbel fora do Brasil fora do Flamengo e vai Essa porra éFlamengo porra Tá de sacanagem meu irmão CRF FLA…";2019-05-26 18:29:07
"7";7;"0.726358115673065";"Torcida xinga Abel Braga pedindo sua saída Ainda assim a torcida apoia o time e pede a virada O torcedor hoje se fez o…";2019-05-26 18:29:05
"8";8;"0.410453170537949";"Se o Abel é esse gentleman que dizem que ele é ele mesmo pede o boné Não precisa mais de dinheiro odeia o clube odeia…";2019-05-26 18:29:03
"9";9;"0.0238095242530107";"Abel Braga mesmo que tivesse perdido ou empatado não ia cair segundo membros da diretoria Os mesmos garantem que não h…";2019-05-26 18:29:01
"10";10;"0.775468707084656";"Cuellar estava no vestiário e passou por aqui Volante disse que está bem Flamengo";2019-05-26 18:28:51
"11";11;"0.228236019611359";"Eu falei caralho Vamos virar Flamengo sempre Acima desses tricolores que não sabem o valor de nosso Manto Agora demit…";2019-05-26 18:28:50
"12";12;"0.559083223342896";"Lisboa gol da virada Aqui tem muitoFlamengo FlaPortugal Lisboa FlaPeloMundo";2019-05-26 18:28:49
"13";13;"0.33902496099472";"Ô Abelo meu Flamengo não precisa de você";2019-05-26 18:28:49
"14";14;"0.275457233190536";"Diretores do Flamengo se olham apreensivos nos camarotes do Maracanã e o que se fala é que Abel Braga não tem mais condi…";2019-05-26 18:28:43
"15";15;"0";"Gostando ou não venceram e vão ter que engolir FutebolnaVeia Flamengo";2019-05-26 18:28:26
"16";16;"0.44987541437149";"Seré navegar em alto mar da calmaria e controle à turbulências e vendavais em minutos…";2019-05-26 18:28:23
"17";17;"0.599522113800049";"Paulo Pelaipe me esclarece que estava falando com Marcos Braz no telefone ele disse que estava passando para o Braz o tempo…";2019-05-26 18:28:21
"18";18;"0.485834181308746";"Ser zoado antes do final do jogo e ser evitado após Normal 
Flamengo";2019-05-26 18:28:13
"19";19;"0.541202127933502";"Diretores do Flamengo se olham apreensivos nos camarotes do Maracanã e o qu…";2019-05-26 18:28:09
"20";20;"0.412649929523468";"Se o Abel é esse gentleman que dizem que ele é ele mesmo pede o boné Não precisa mais de dinheiro odeia o clube…";2019-05-26 18:28:08
"21";21;"0.700993835926056";"Vamos virar e tem que demitir o Abel Ficamosminutos correndo atrás do Athletico Tomamos gols Time sem esquema Ele…";2019-05-26 18:28:08
"22";22;"0.132341027259827";"Se esse treinador continuar depois desse jogo pavoroso A direção está repetindo a mesma merda que Eduardo Bandeira…";2019-05-26 18:28:03
"23";23;"0.640356004238129";"Iae Abel Flamengo empatar o jogo em casa com o time reserva do Athletico PR tbm é normal
Isso é so o reflexo d…";2019-05-26 18:27:58
