"Id";"Score";"text";"data"
"1";1;"0.490713179111481";"Marte em Leão <U+264C> Por conta de sua ética pessoal fazem uma competição leal e nunca humilham seus inimigos Precisa…";2019-03-13 13:30:05
"2";2;"0.484255492687225";"Leão Eu torço secretamente para a gente dar certo";2019-03-19 19:18:39
"3";3;"0";"Leão E quando eu estiver triste Simplesmente me abrace";2019-03-19 19:16:46
"4";4;"0.0401163995265961";"Leão Eu queria poder te abraçar todos os dias";2019-03-19 19:14:21
"5";5;"0.652612388134003";"Leão O fato é que todos nós queremos ser especiais na vida de alguém";2019-03-19 19:12:47
"6";6;"0.229458928108215";"Leão Pare de sentir falta de quem nem se lembra mais de você";2019-03-19 19:09:09
"7";7;"0.114369183778763";"Leão Eu acredito em segunda chance Só não acredito que todo mundo a mereça";2019-03-19 19:08:53
"8";8;"0.603296339511871";"Leão Todo dia é uma nova oportunidade";2019-03-19 19:05:02
"9";9;"0.349943161010742";"Leão Preciso de um abraço Daqueles bem apertados que você fica lá e não diz nada só sente";2019-03-19 19:03:54
"10";10;"0.401133358478546";"Leão Deixa que falem eles não sabem não falo pelos outros só falo por mim";2019-03-19 19:03:44
"11";11;"0.56250125169754";"<U+0001F1EB><U+0001F1F7><U+0001F399>Capitão ídolo<U+0001F9E4>
•
LeaoCombativo fortaleza leão fortalezaEC FEC boraleao boraleão…";2019-03-19 19:03:26
"12";12;"0.650131523609161";"Leão A vida é um jogo ou você joga ou você fica assistindo";2019-03-19 19:03:24
"13";13;"0.577280759811401";"<U+0001F3C6> Campeonato Cearense 
<U+0001F1EB><U+0001F1F7> Fortaleza <U+0001F19A> Floresta
<U+0001F5D3> Quartade Março de 
<U+23F1> h
<U+0001F3DF> Arena Castelão Fortale…";2019-03-19 19:03:24
"14";14;"0.264281928539276";"Leão Os piores pesadelos são aqueles que você enfrenta de olhos abertos";2019-03-19 19:03:18
"15";15;"0.333916336297989";"Leão Eu te amo é uma frase muito forte para ser dita em vão Ame primeiro diga depois";2019-03-19 19:03:11
"16";16;"0.575395405292511";"Leão Os momentos mais bobos ao lado de pessoas especiais se tornam inesquecíveis";2019-03-19 19:02:58
"17";17;"0.0879144668579102";"Leão Dos nossos planos é que tenho mais saudade quando olhávamos juntos na mesma direção";2019-03-19 19:02:51
"18";18;"0.517284631729126";"Leão Porque às vezes você tem que abrir mão de uma coisa para dar espaço para a chegada da outra";2019-03-19 19:02:31
"19";19;"0.69631826877594";"Leão Algumas pessoas te amam do jeito que você é Outras te odeiam pelo mesmo motivo É normal";2019-03-19 18:58:53
"20";20;"0.49746435880661";"Leão Pensar demais é o que me mata";2019-03-19 18:56:29
"21";21;"0.686248302459717";"Leão Acima de tudo guarde o seu coração";2019-03-19 18:56:00
"22";22;"0.850697636604309";"Leão É preciso ignorar certos comentários para ser feliz";2019-03-19 18:46:37
"23";23;"0";"Leão Saudade é sentir falta até dos defeitos da pessoa";2019-03-19 18:45:46
"24";24;"0.0917339324951172";"Leão Olhei pra mim me vi assim tão perto de chegar onde você não está";2019-03-19 18:40:46
