"Id";"Score";"text";"data"
"1";1;"0.612270951271057";"Fim de jogo Grêmio x Internacional
Com um golaço de Leonardo Gomes e domínio total da partida vencemos o cláss…";2019-03-17 21:01:33
"2";2;"0.22855019569397";"<U+0001F4DD> Cartão amarelo para Rithely do Internacional que parece não ter gostado da caneta do Everton
Grêmio x Inter…";2019-03-17 20:56:16
"3";3;"0.561508178710938";"<U+0001F3BC> GRÊMIO É PURO SENTIMENTO 
Grêmio x Internacional
<U+0001F1EA><U+0001F1EA><U+0001F4AA><U+0001F3FC><U+26BD> GreNal Gauchão VamosTricolor";2019-03-17 20:55:09
"4";4;"0.375831365585327";"Nova coluna do Adriel Argentino
O CONTRAVENENO DO RENATO A FALÊNCIA DO PLANO VERMELHO
HospicioTricolorDamasDeCopa…";2019-03-19 18:51:04
"5";5;"0.473438650369644";"Grêmio já em Pelotas para o jogo de amanhã que vai com os reservas grupo principal fica aqui treinando e se prepa…";2019-03-19 18:45:38
"6";6;"0.429321885108948";"Nova Coluna do
O tamanho do adversário
HospicioTricolor RadioHospicio Gremio GREnada DamasDeCopas
h…";2019-03-19 18:41:50
"7";7;"0.547090709209442";"Provável escalação do Grêmio para enfrentar o Pelotas Brenno Galhardo Michel Marcelo Oliveira e Juninho Capixaba Rôm…";2019-03-19 18:38:42
"8";8;"0.577856838703156";"Rafael Galhardo fará a sua reestreia com a camisa do Grêmio nesta quartafeira às hmin contra o Pelotas na Boca do…";2019-03-19 18:37:38
"9";9;"0.281198680400848";"GrêmioPaulo Miranda nem viajou a Pelotas André também é outro que não está na zona sul do estado Por outro lado Mic…";2019-03-19 18:37:36
"10";10;"0.547090709209442";"Provável escalação do Grêmio para enfrentar o Pelotas Brenno Galhardo Michel Marcelo Oliveira e Juninho Capixa…";2019-03-19 18:16:20
"11";11;"0.270779579877853";"GrêmioPaulo Miranda nem viajou a Pelotas André também é outro que não está na zona sul do estado Por outro la…";2019-03-19 18:15:25
"12";12;"0.574317932128906";"Rafael Galhardo fará a sua reestreia com a camisa do Grêmio nesta quartafeira às hmin contra o Pelotas na Boca do Lobo";2019-03-19 18:13:30
"13";13;"0.631366610527039";"<U+0001F1E7><U+0001F1FC>Gremio l Provável time para o jogo contra o Pelotas Brenno Rafael Galhardo Michel Marcelo Oliveira e Juninh…";2019-03-19 18:11:51
"14";14;"0.219279706478119";"<U+0001F1E7><U+0001F1FC>Grêmio l Paulo Miranda e André não viajaram para Pelotas já Felipe Vizeu viajou e será titular";2019-03-19 18:11:21
"15";15;"0.349279224872589";"Grêmio <U+0001F535> <U+26AA> <U+26AB>

Presidente pode permanecer no comando Tricolor por mais três anos";2019-03-19 18:10:39
"16";16;"0.806793034076691";"<U+0001F1E7><U+0001F1FC>GrêmioSaiba o que necessário para a aprovação da nova reeleição de Romildo Bolzan";2019-03-19 18:07:24
"17";17;"0.548530459403992";"Provável Grêmio
Brenno Galhardo Michel Marcelo Oliveira e Juninho CapixabaRômulo e Matheus Henrique Montoya…";2019-03-19 18:03:07
"18";18;"0.375831365585327";"Nova coluna do Adriel Argentino
O CONTRAVENENO DO RENATO A FALÊNCIA DO PLANO VERMELHO
HospicioTricolor…";2019-03-19 18:01:30
"19";19;"0.546697974205017";"Grêmio Grêmio terá apenas Marcelo Oliveira como zagueiro contra o Pelotas Paulo Miranda sequer viajou para a Zona Sul…";2019-03-19 18:01:11
"20";20;"0";"<U+0001F1EA><U+0001F1EA> GrêmioZagueiro Paulo Miranda com problema médico não acompanhou a delegação para Pelotas Da equipe conside…";2019-03-19 17:50:57
"21";21;"0.546697974205017";"Grêmio Grêmio terá apenas Marcelo Oliveira como zagueiro contra o Pelotas Paulo Miranda sequer viajou para a Zon…";2019-03-19 17:37:48
"22";22;"0.467694699764252";"GrêmioPermanência de Juninho Capixaba deve ser definida até a próxima semana Jogador deve assinar portemporadas com o…";2019-03-19 17:34:41
"23";23;"0.805285096168518";"GreNal na Arena do Grêmio

 jogos
 vitórias do Grêmiogols
 vitória do Intergols
 empates

<U+2694><U+26BD>

<U+0001F4F8> Marc…";2019-03-19 17:30:15
"24";24;"0.537253558635712";"“Jogo mais importante do campeonato” diz volante do Pelotas sobre jogo contra o Grêmio";2019-03-19 17:10:08
"25";25;"0.735557913780212";"<U+0001F5E3><U+FE0F>Vinícius Guerreiro do Diário Popular de Pelotas fala agora no ContraAtaque sobre o confronto entre Pelotas x <U+0001F1E7><U+0001F1FC>Grêmio";2019-03-19 17:08:11
"26";26;"0.909405529499054";"NO AR ArenaPachola Tudo sobre o dia do Grêmio no seu fim de tarde 

AO VIVO via 

Facebook link";2019-03-19 17:08:04
"27";27;"0.909405529499054";"NO AR ArenaPachola Tudo sobre o dia do Grêmio no seu fim de tarde 

AO VIVO via 

Facebook link…";2019-03-19 17:00:00
"28";28;"0.454460501670837";"GrêmioPermanência de Juninho Capixaba deve ser definida até a próxima semana Jogador deve assinar portempor…";2019-03-19 16:53:23
"29";29;"0.512905180454254";"Grêmio Rafael Galhardo está relacionado para o jogo contra o Pelotaslateral deve fazer sua reestréia<U+0001F535><U+26AB><U+26AA>";2019-03-19 16:22:13
"30";30;"0.547491252422333";"Gol do Flamengo 
 x Grêmio
<U+0001F3C6><U+26BD><U+0001F1EA><U+0001F1EA> FLAxGRE CopaDoBrasil ReiDeCopas RumoAoHexa QueremosACopa";2019-03-19 16:15:48
"31";31;"0.545789241790771";"Gauchão– Classificatória – RodadaampArbitragem

Boca do LoboPelotas SouLobo X Grêmio…";2019-03-19 15:56:19
"32";32;"0.592935264110565";"Saiu mais precificações de jogadores do cartola fc comenta o que acharam

cartolafc cartolafccartola …";2019-03-19 15:40:34
"33";33;"0.592935264110565";"Saiu mais precificações de jogadores do cartola fc comenta o que acharam

cartolafc cartolafc…";2019-03-19 15:36:57
"34";34;"0.512266099452972";"Grêmio Bruno Cortez assina renovação com o Grêmio A renovação já estava acertada faltava apenas a assinatura de…";2019-03-19 15:29:16
