"Id";"Score";"text";"data"
"1";1;"0.437446475028992";"<U+0001F1FA><U+0001F1FE><U+0001F1E7><U+0001F1F7> Oabre sua série nas oitavas contra ono Uruguai em julho

<U+0001F519><U+0001F3C6> O duelo reedita a…";2019-05-13 22:45:26
"2";2;"0.614596486091614";"Inter contra o Nacional ficou interessante em termos de logística e viagem curta ao Uruguai Desafio nívelestá…";2019-05-13 22:54:19
"3";3;"0.519878625869751";"Inter e NacionalURU temconfrontos na história Sãovitórias coloradasempates evitórias uruguaias Em…";2019-05-13 22:25:12
"4";4;"0.437446475028992";"<U+0001F1FA><U+0001F1FE><U+0001F1E7><U+0001F1F7> Oabre sua série nas oitavas contra ono Uruguai em julho

<U+0001F519><U+0001F3C6> O duelo reedita a camp…";2019-05-14 23:20:40
"5";5;"0.526164293289185";"Inter deve vender volante para clube português";2019-05-14 22:43:52
"6";6;"0.45637583732605";"Deputados gaúchos voltam a debater venda de bebidas alcoólicas nos";2019-05-14 22:25:06
"7";7;"0.514075517654419";"Trajado de Seleção <U+0001F911><U+0001F1E6><U+0001F1FA>camisadetime TimeDeTradição
France 
Inter Paris
brasileiro

Whats…";2019-05-14 22:20:03
"8";8;"0.614596486091614";"Inter contra o Nacional ficou interessante em termos de logística e viagem curta ao Uruguai Desafio nívelestádio…";2019-05-14 22:11:08
"9";9;"0.354267954826355";"Romildo Bolzan Jr Em certo momento ficaram apenas quatro bolinhas e <U+0001F1E7><U+0001F1FC>Grêmio e <U+0001F1E6><U+0001F1F9>Inter ainda não tinham sido s…";2019-05-14 21:52:09
"10";10;"0.506147623062134";"<U+0001F1EE><U+0001F1E9> InterInformações do treino Colorado antes do confronto diante do CSA com Adriano Garciah…";2019-05-14 21:49:47
"11";11;"0.596318125724792";"Tudo sobre a dupla Grenal está noToques desta terça Assista ao vivo <U+27A1><U+FE0F><U+27A1><U+FE0F>";2019-05-14 21:07:40
"12";12;"0.48805433511734";"InterGuerrero fala sobre a força do grupo do Inter";2019-05-14 21:03:42
"13";13;"0.645243346691132";"O Inter se reapresentou nesta terça e Emerson Santos voltou a ser opção";2019-05-14 20:52:01
"14";14;"0.494175553321838";"InterGuerrero responde se o Inter tem condições de buscar títulos de relevância em";2019-05-14 20:51:38
