"Id";"Score";"text";"data"
"1";1;"0.958924412727356";"Dia de<U+0001F534><U+26AA><U+FE0F><U+26BD><U+FE0F><U+0001F64F><U+0001F3FB> gauchão Deusébom vamos camilo inter";2019-03-20 16:38:15
"2";2;"0.520752608776093";"Jamais comparem aqui é Inter";2019-03-13 23:27:26
"3";3;"0.0454545468091965";"Óbvio que não gosto de perder Mas volto a dizer esse GreNal não significa nada Inter deu seu recado à FGF ao…";2019-03-17 22:18:22
"4";4;"0.576915979385376";"<U+0001F5E3><U+FE0F><U+0001F399><U+FE0F> Atenção para as datas e horários dasde final do Gauchao Clica na imagem e amplie a informação Futebol…";2019-03-21 18:27:38
"5";5;"0.359516799449921";"InterTécnico Odair Hellmann comanda trabalho em campo reduzido para os jogadores que não começaram o jogo contra o Novo Ha…";2019-03-21 17:49:29
"6";6;"0.46682134270668";"Inter“Alexandre Pato tem um custo altíssimo e está totalmente fora da nossa realidade” diz Roberto Melo vice de f…";2019-03-21 17:43:15
"7";7;"0.5";"TSubstituição no Inter
<U+2B06> Camilo
<U+2B07> DAlessandro";2019-03-21 17:36:13
"8";8;"0.25375434756279";"InterTécnico Odair Hellmann comanda trabalho em campo reduzido para os jogadores que não começaram o jogo contr…";2019-03-21 17:25:27
"9";9;"0.980306804180145";"Gols e melhores momentos da vitória do Inter contra o Novo Hamburgo

InterXNovo Hamburgo";2019-03-21 16:58:20
"10";10;"0.586552500724792";"Gauchão Inter Resenhas StudioTVTreino de luxoInternacional x Novo Hamburgo Campeonato Gaúcho…";2019-03-21 16:49:03
"11";11;"0.795144736766815";"inter finalmente";2019-03-21 16:47:07
"12";12;"0.528667688369751";"Arbitragem para os jogos da Dupla Grenal nas quartas de final do Gauchão 
<U+0001F1E7><U+0001F1FC>Grêmio apita Leandro Vuadem 
<U+0001F1E6><U+0001F1F9>Inter api…";2019-03-21 16:44:23
"13";13;"0.297100067138672";"Meia é dúvida RDCEsportes Inter";2019-03-21 15:45:30
"14";14;"0.528667688369751";"Arbitragem para os jogos da Dupla Grenal nas quartas de final do Gauchão 
<U+0001F1E7><U+0001F1FC>Grêmio apita Leandro Vuadem 
<U+0001F1E6><U+0001F1F9>Inter…";2019-03-21 15:44:26
"15";15;"0.696581423282623";"últimas do Inter após vitória no BeiraRio";2019-03-21 15:24:24
"16";16;"0.702399611473083";"Confrontos das quartas do Gauchão definidos

• Grêmio x Juventude
• São Luiz x São José

• Inter x Novo Hamburgo…";2019-03-21 14:53:05
"17";17;"0.641459345817566";"Grêmio Gauchão
Datas e horários das quartasdefinal do Gauchão 
Sábado 
h Novo Hamburgo x Inter
h S…";2019-03-21 14:20:40
"18";18;"0.455173432826996";"Uma coisa me chamou a atenção

No ranking organizado pelo programa Seleção SporTV de lateraisesquerdos da S…";2019-03-21 14:04:48
"19";19;"0.528348565101624";"Inter vence NovoHamburgo e assegura a segunda colocação no estadual";2019-03-21 13:45:00
"20";20;"0.576915979385376";"<U+0001F5E3><U+FE0F><U+0001F399><U+FE0F> Atenção para as datas e horários dasde final do Gauchao Clica na imagem e amplie a informação…";2019-03-21 13:27:17
"21";21;"0.37639057636261";"Mesma coisa que a minha falou só falei e o inter coroa <U+0001F602><U+0001F602><U+0001F602>";2019-03-21 13:18:17
"22";22;"0.629284620285034";"Quem fala agora no GrenalFC é o Thaciano meiaatacante do Boa Esporte próximo adversário do <U+0001F1E6><U+0001F1F9>Inter na Série B";2019-03-21 12:56:30
