"Id";"Score";"text";"data"
"1";1;"0.594681620597839";"Aos poucos vamos avançando e renovando a nossa marca Vasco";2019-03-20 22:12:57
"2";2;"0.471142143011093";"Entenda o fenômeno Vasco no Twitter

Saiba mais";2019-03-16 16:45:48
"3";3;"0.519731283187866";"VascoVasco Vasco";2019-03-15 22:25:14
"4";4;"1";"Atenção vascaínos sigam oé de suma importância para fortalecer a parceira entre Vasco e BMG vamos mostrar…";2019-03-21 18:42:31
"5";5;"0.560928463935852";"Bruno César festeja primeiro gol pelo Vasco “Tira um peso nas costas”";2019-03-21 18:37:10
"6";6;"0.542887568473816";"VascoSabe o Escudero aquele presente de Natal do então presidente e agorafalecido Eurico Miranda Pois é El…";2019-03-21 18:36:20
"7";7;"0.499993801116943";"Ta jogado muito meu garotojoga de terno vasco";2019-03-21 18:17:26
"8";8;"0.533375799655914";"Aqui e vasco";2019-03-21 18:16:37
"9";9;"1";"Parabéns o trem bala da Colina voltou pros trilhos vasco";2019-03-21 18:15:36
"10";10;"0.571050643920898";"Jutos somos moais forte vasco";2019-03-21 18:15:09
"11";11;"0.861472606658936";"A evolução do Bruno César é visível Só passe bom Vasco";2019-03-21 18:05:51
"12";12;"0.743231654167175";"Escudero ganha ação na Justiça contra o Vasco que terá de pagar verbas trabalhistas";2019-03-21 18:02:40
"13";13;"0.443370938301086";"Só porque ainda ta no inicio do período <U+2764>

Vasco UERJ
NewProfilePics";2019-03-21 17:54:42
"14";14;"0.539462625980377";"Vasco
Vasco
VascoDaGama";2019-03-21 17:36:18
"15";15;"0.882976591587067";"Piscininha amor <U+0001F919><U+0001F919>
Algazarras tbt VASCO";2019-03-21 17:35:18
"16";16;"0.61286985874176";"Você faz parte de algum grupo de whatsapp do Vasco Se sim pede para me adicionar por favor";2019-03-21 17:31:06
"17";17;"0.664178252220154";"Todo dia uma surpresa do tempo tenebroso que vivemos num passado recente
Mas vamos com tudo 
Contra tudo e cont…";2019-03-21 17:30:22
"18";18;"0.539462625980377";"<U+25E4><U+2720><U+25E2>
<U+25E4><U+2720><U+25E2> 
<U+25E4><U+2720><U+25E2>

Vasco
Vasco";2019-03-21 17:26:38
"19";19;"1";"<U+25E4><U+2720><U+25E2>
Bora botar a bandeira no nome do Perfil
Basta copiar ir em Editar Perfil e colar
Vasco Sv <U+0001F60D><U+0001F4A2><U+2665><U+FE0F> <U+25E4><U+2720><U+25E2>";2019-03-21 17:26:23
"20";20;"0.787713050842285";"Vascoooooooooooooooooooooooo E foi na terrinha einh hehehe VASCO VoltaRedonda RJ x";2019-03-21 17:17:53
"21";21;"0.646001219749451";"Tnc quem te critica vc e um otimo profissional parabens VASCO";2019-03-21 17:12:57
"22";22;"0.649218618869781";"Resende é marca de presunto<U+0001F602><U+0001F602><U+0001F602><U+0001F602>

Vasco";2019-03-21 17:00:45
"23";23;"0.270276486873627";"Não entendo pq Bruno Silva e Luiz Gustavo ainda estão no Vasco";2019-03-21 16:57:13
"24";24;"1";"Prontinho hahaha <U+25E4><U+2720><U+25E2>

Vasco<U+0001F60D><U+0001F4A2><U+2665><U+FE0F> <U+25E4><U+2720><U+25E2>";2019-03-21 16:51:19
"25";25;"0.999069571495056";"tarderedondafox o vasco vai ser campeão carioca time muito consistente e seguro titulares sempre Valentim VASCO";2019-03-21 16:45:20
"26";26;"0.612899541854858";"Vasco já passou o Atlético no números de seguidores NOMEUBMG no twitterfalta passar o C…";2019-03-21 16:42:50
"27";27;"0.525168836116791";"VascoO Vasco entregou no início destasemana adocumentação para aSecretaria de Fazenda do Rio de Janeiro…";2019-03-21 16:38:38
"28";28;"0.468661963939667";"Acompanhe a coletiva de Bruno César em São Januário";2019-03-21 16:30:49
"29";29;"1";"De todos os amores que eu tive és o mais antigo Vasco<U+0001F4A2><U+2764><U+FE0F>";2019-03-21 16:18:10
"30";30;"0.739066421985626";"Só tenho uma coisa a dizer meu caro Vasco <U+0001F4AA><U+0001F3FB>";2019-03-21 15:41:40
