"Id";"Score";"text";"data"
"1";1;"0.742682814598083";"Hoje o Mazinho um dos maiores laterais da história vascaína completaanos No Vasco conquistou a Taça Rio deT…";2019-04-08 18:02:26
"2";2;"0.36577770113945";"Diretor detalha processo da volta de Maxi López ao time “Já perdeu seis quilos”";2019-04-08 18:00:47
"3";3;"0.821647346019745";"Que orgulho do nosso garotogolmostrando sua generosidade com um pequeno torcedor deanos Além de…";2019-04-08 17:59:14
"4";4;"0.408654272556305";"Assessoria do Vasco informa

Por decisão da diretoria do Club de Regatas Vasco da Gama o atleta Thiago Galhardo não faz…";2019-04-08 17:52:43
"5";5;"0.514927864074707";"Se f…";2019-04-08 17:51:21
"6";6;"0.668229460716248";"Maracanã Rio de Janeiro maracana riodejaneiro rio vasco em Maracanã Rio de Janeiro";2019-04-08 17:27:04
"7";7;"0.462329149246216";"Adiz que onão tem condições de administrar a si próprio Eu até concordo mas quem matou…";2019-04-08 17:27:01
"8";8;"0.263777524232864";"Essa saída do Thiago Galhardo do vasco chama a atenção porque nenhum jogador nenhum nem ninguém da comissão técnica saiu em defesa dele";2019-04-08 16:58:26
"9";9;"0.497690230607986";"<U+0001F3B5> Eu vou torcer
Aqui eu ergui meu templo para vencer
Eu já lutei por negros e operários
Te enfrentei venci fiz São Ja…";2019-04-08 16:47:18
"10";10;"0.479382514953613";"meu interesse pelo Maracanã e igual drumet em churrasco nenhum

vasco";2019-04-08 16:38:23
"11";11;"0.601373672485352";"vasco na final pode conquistar otítulo do Carioca";2019-04-08 16:36:56
"12";12;"0.282765090465546";"João Pedro monstro na base treinar em grupohorário separado é um crime

O Vasco precisa urgentemente arrumar um club…";2019-04-08 16:35:44
"13";13;"0.499092996120453";"Vasco encaminha empréstimo de Jordi ao CSA até o fim da temporada";2019-04-08 16:30:36
"14";14;"0.535552382469177";"Meiavolta e conjunto da obra os bastidores da dispensa de Thiago Galhardo";2019-04-08 16:30:36
"15";15;"0.449483215808868";"Sem revelar motivo diretor fala sobre dispensa de Galhardo Relação encerra aqui";2019-04-08 16:30:35
"16";16;"0.973515510559082";"Boa tarde amores sempre vasco VascoDaGama Vasco finalcarioca";2019-04-08 16:28:01
"17";17;"0.351824164390564";"Saudades do futebol Dihbraihmovic retornará em breve futebol soccer vasco crvg futsal friends amigos insta…";2019-04-08 16:11:58
"18";18;"0.258532017469406";"Inter não tem interesse em Thiago Galhardo meia que deixou o Vasco segundo Rodrigo Caetano Flávio Trivella seu e…";2019-04-08 16:11:04
"19";19;"0.339229017496109";"Sem revelar motivo diretor do Vasco fala sobre dispensa de Galhardo Relação encerra aqui";2019-04-08 16:00:50
"20";20;"0.23093393445015";"VascoDaGama Vasco
Fora do gigante da colina
Não merecia ado Vasco";2019-04-08 15:55:58
"21";21;"0.586251020431519";"Vasco supera Bangu e enfrenta Flamengo na decisão do Carioca";2019-04-08 15:48:45
"22";22;"0";"DEPOIS FICA DANDO CHILIQUE PORQUE ELES NÃO CONSEGUIRAM A CONCESSÃO DO MARACANÃ ESSE INSTITUIÇÃO VASCO FALIDO NÃO P…";2019-04-08 15:38:52
"23";23;"0.596898257732391";"Dirigente doAlexandre Faria concedeu entrevista coletiva nesta tarde vasco alexandrefaria…";2019-04-08 15:36:40
"24";24;"0.223796427249908";"DEPOIS FICA DANDO CHILIQUE PORQUE ELES NÃO CONSEGUIRAM A CONCESSÃO DO MARACANÃ ESSE INSTITUIÇÃO…";2019-04-08 15:33:09
"25";25;"0.249530494213104";"URGENTE O Vasco informa que Thiago Galhardo não faz mais parte dos planos do clube";2019-04-08 15:25:20
"26";26;"0.290570497512817";"Queria que o Vasco jogasse as finais do Carioca assim Vasco sbt CampeonatoCarioca";2019-04-08 15:15:45
"27";27;"0.839002013206482";"SinceramenteEu gostei
Vai mexer com os astral dos nossos jogadoresIsso vai con…";2019-04-08 15:01:11
"28";28;"0.485907793045044";"<U+0001F3B5> Eu vou torcer
Aqui eu ergui meu templo para vencer
Eu já lutei por negros e operários
Te enfrentei venci fiz…";2019-04-08 14:54:35
"29";29;"0.805170059204102";"Página virada a missão agora é a Copa do Brasil

Vasco x Avaí na Ressacada Torcida guarda boas recordações

Vam…";2019-04-08 14:52:29
"30";30;"1";"Ownnnnt <U+0001F60D> Que fofo <U+0001F917>
JessicaMueller ama ofutebol 
Vasco treino torcida";2019-04-08 14:51:50
"31";31;"0.106316149234772";"Saudades quando a torcida ia pro maraca assimCheia de bandeirãochegava em pesooo quero isso na final pra bot…";2019-04-08 14:51:30
"32";32;"0.479876071214676";"Com VAR em ação Vasco vence Bangu e garante vaga na final do Carioca Seleção vasco CampeonatoCarioca Carioca…";2019-04-08 14:44:20
"33";33;"0.0652173906564713";"Pra quem acha que não existe a flapress veja ai
 é um jornal imundo feito por gente que não sabe escrever para pe…";2019-04-08 14:14:59
"34";34;"0.351939737796783";"É um brincalhão Joga porra nenhuma Vasco";2019-04-08 14:10:58
"35";35;"0.639188706874847";"O Vasco é GIGANTE 

Contra tudo Contra todos

Aqui é VASCO <U+0001F4A2>

Vasco ContraTudoContraTodos 
OMaracaÉdoPovo OMarac…";2019-04-08 14:06:55
"36";36;"0.547265648841858";"Blz se o se Sasse faz um gol de bike a gente podia correr para as montanhas Vasco";2019-04-08 13:44:59
"37";37;"0.301178872585297";"Agora vai dálhe puto Vasco";2019-04-08 13:40:56
