"Id";"Score";"text";"data"
"1";1;"0.322316408157349";"Que imagem

Pedrinho teve dificuldade para entrar em campo com tantas crianças querendo dar a mão ou entrar com el…";2019-03-24 19:12:26
"2";2;"1";"Tá chegandoo Levanta a mão e curte o post quem vai querer garantir a sua<U+0001F64B><U+2642><U+0001F64B><U+2642><U+0001F64B><U+2642>

loucopotycorinthians…";2019-03-24 12:00:01
"3";3;"0.428187787532806";"Caro Ministro Paulo Guedes se o estádio foi dado ao Corinthians então houve corrupção no BNDES e na Caixa Econ…";2019-03-17 12:21:58
"4";4;"0.624829292297363";"Bomdiafox como sempre as chamadas dessa fox tem dois pesos e duas medidas Palmeiras empata com Novorizontino com gol de Arth…";2019-03-25 11:27:35
"5";5;"0.292138874530792";"Quando da mentira dita pelo Paulo Guedes sobre o Corinthians falei que a Arena estava EM DIA e que já tinha pago à Cai…";2019-03-25 11:24:53
"6";6;"0.518759548664093";"Atuei por times rivais Müller jogou nos quatro grande de SPealém de um…";2019-03-25 11:20:05
"7";7;"0.544408679008484";"Atuei por times rivais Müller jogou nos quatro grande de SPe …";2019-03-25 11:15:28
"8";8;"0.906080484390259";"Amanhã é dia de Corinthians 

Nossas meninas recebem asnesta terça no Parque São Jorge O jogo te…";2019-03-25 11:06:06
"9";9;"0.403909802436829";"Andrés critica diretoria do Sevilla em negociação por Arana Decepcionado";2019-03-25 11:02:43
"10";10;"0.538624882698059";"O segundo episódio do programa mais baixo custo alto astral desse Brasilzão já tá no ar Tem corinthians seleçãobrasi…";2019-03-25 10:56:22
"11";11;"0.163507699966431";"E ninguém calaaaaaa esse chororô ôÔchora o presidente chora time todo choro o torcedorrrrrrrrr

Já temos o paulist…";2019-03-25 10:55:03
"12";12;"0.0476896166801453";"Posso não gostar do desempenho deles em algumas partidas mas jamais vou odiar alguém que esteja r…";2019-03-25 10:48:42
"13";13;"0";"Com o professor não tem meias palavras Não gostou da atuação e ponto final Agora é identificar os defeitos cor…";2019-03-25 10:41:31
"14";14;"0.60952091217041";"CORINTHIANSCássio Michel Manoel Henrique e Danilo Avelar Ralf Júnior Urso e Sornoza Clayson Pedrinho e Vagner Love";2019-03-25 10:39:31
"15";15;"0.934850633144379";"Amanhã é dia de Corinthians 

Nossas meninas recebem asnesta terça no Parque São Jorge O j…";2019-03-25 10:36:27
"16";16;"0.425681591033936";"Andrés critica diretoria do Sevilla em negociação do Corinthians por Guilherme Arana Decepcionado
Presidente…";2019-03-25 10:34:39
"17";17;"0.538624882698059";"O segundo episódio do programa mais baixo custo alto astral desse Brasilzão já tá no ar Tem corinthians…";2019-03-25 10:25:47
"18";18;"1";"chegou o desconto uber do dia confira desconto descontouber uber 
Ganhe desconto UBER de Rcom o codigo …";2019-03-25 10:25:31
"19";19;"0.277287513017654";"Eu NUNCA vou te abandonar porque EU TE AMO<U+0001F3B6>



<U+0001F4F8>
Corinthians FielTorcedor VaiCorinthians";2019-03-25 10:20:01
"20";20;"0.753819823265076";"“Jamais passaras em branco”
– Gustavo 

corinthians VaiCorinthians CORxFER";2019-03-25 10:17:45
"21";21;"0.834532856941223";"Parabénso nosso malvado favorito Esse título é pq quando você expõe algumas verdades sobre o Corinthians…";2019-03-25 10:13:20
"22";22;"0.113150894641876";"Duas das mais importantes figuras do Corinthians nessa temporada fizeram suas piores partidas no ano Love e Urso não…";2019-03-25 09:47:14
"23";23;"0.59896045923233";"Bomdiafox como sempre as chamadas dessa fox tem dois pesos e duas medidas Palmeiras empata com Novorizontino com…";2019-03-25 09:39:16
"24";24;"0.719086050987244";"<U+0001F4A5> PODEROSO TIMÃO <U+0001F4A5>
<U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800> <U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800>
————————————
<U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800> <U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800>
<U+25B6><U+FE0F> O time do corinthians empatou o •…";2019-03-25 09:39:07
"25";25;"0.569791197776794";"Só ao Corinthians na análise rasa desse David";2019-03-25 09:32:44
"26";26;"0.0833333358168602";"Por que o Carille tira o Pedrinho ao invés do Clayson ambos mal Simples Um pode não estar bem mas além de ter cai…";2019-03-25 08:05:20
"27";27;"0.480616629123688";"Opinião VAR no Paulistão tem saldo positivo mas não encerra discussões";2019-03-25 07:30:48
"28";28;"0.503481686115265";"Análise Timão tem estratégia premiada contra a Ferroviária";2019-03-25 07:30:47
"29";29;"1";"Tá chegandoo Levanta a mão e curte o post quem vai querer garantir a sua<U+0001F64B><U+2642><U+0001F64B><U+2642><U+0001F64B><U+2642>

loucopotycorinthians guaranapot…";2019-03-25 07:30:28
"30";30;"0.623357713222504";"O jogo foi fraco Só ganhou emoção depois do gol da Ferroviária graças a mais uma pixotada do intocável Henrique Bola…";2019-03-25 07:20:57
"31";31;"1";"Orra meu praticamente um paulistano manoVai torcer pro Corinthianscê vai ver 
I love<U+0001F618><U+0001F495>";2019-03-25 07:08:45
"32";32;"0.316678434610367";"Que imagem

Pedrinho teve dificuldade para entrar em campo com tantas crianças querendo dar a mão ou entrar com ele

Na hora…";2019-03-25 06:46:27
"33";33;"0.447655409574509";"Alguém Sabe Como o Gustagol está Dormindo
Se ele está bem Agasalhado se tem Alguém atrapalhando a Noite de Sono de…";2019-03-25 06:31:44
"34";34;"0.177616596221924";"Análise Corinthians vai mal na criação mas tem estratégia premiada contra a Ferroviária";2019-03-25 06:30:24
"35";35;"0.725714921951294";"FerroviáriaxCorinthians veja os melhores momentos";2019-03-25 05:31:09
"36";36;"0.0454545468091965";"Mas porque o Carille não tirou o Sornoza que também foi muito mal A partir do momento quecoloca ou pensa em coloc…";2019-03-25 05:21:04
"37";37;"0.90407532453537";"Hoje é dia de clássico dia de Corinthians dia de Boseli VaiCorinthians";2019-03-25 04:45:41
"38";38;"0.414300203323364";"Direto da Arena Fonte Luminosafala de Ferroviária X Corinthians";2019-03-25 02:51:38
"39";39;"0.657470464706421";"Corinthians preste atenção Democracia Corinthiana Vamos nos manifestar";2019-03-25 01:02:18
"40";40;"0.564183592796326";"Daqui a poucoda matina tem Bola na Rede na Rede TV Veja os destaques 



tv redetv corinthians…";2019-03-25 00:59:45
"41";41;"0.00506341457366943";"Não sei se deu p perceber mas eu torço p Corinthians <U+0001F5A4>";2019-03-25 00:41:40
"42";42;"0.297830998897552";"Tem que ser ignorante pra dizer que o Corinthians ganhou um estádio Presente de grego E o nome é Arena Corinthi…";2019-03-25 00:28:26
"43";43;"0.939297735691071";"<U+0001F945> Nesta segundatem futsal do bom no ginásio Wlamir Marques a rodada do paulistãox Guarujá às …";2019-03-25 00:04:51
"44";44;"0.939297735691071";"<U+0001F945> Nesta segundatem futsal do bom no ginásio Wlamir Marques a rodada do paulistãox Guarujá…";2019-03-25 00:02:42
"45";45;"0.736814379692078";"O setorista comprovadamente mais amado e elogiado do twitter faz aniversário hoje Parabénsanos só co…";2019-03-25 00:01:07
"46";46;"0.43550243973732";"Quando não é o Avelar é o Gustavo duas máquinas <U+0001F525>

VaiCorinthians Corinthians vaisccp DomingoDetremuraSDV";2019-03-24 23:55:43
