"Id";"Score";"text";"data"
"1";1;"0.589942932128906";"Fim de jogox Grêmio
Com gols de M Oliveira Thaciano Luan x Felippe contra e D Tardelli…";2019-03-24 17:55:02
"2";2;"0.614645838737488";"<U+0001F4DD> Cartão vermelho para Genílson do Juventude por dar uma VOADEIRA no Pepê QUE ISSO RAPAZ
 x…";2019-03-24 16:20:07
"3";3;"0.468625545501709";"Tmin Que passe do Luan Deixou o Tardelli sozinho para encobrir o goleiro e fazer o primeiro gol dele com a c…";2019-03-24 17:51:51
"4";4;"0.592064440250397";"Fim de jogox Grêmio
Com gols de M Oliveira Thaciano Luan x Felippe contra e D Tardelli vencemos a…";2019-03-25 11:31:19
"5";5;"0.884615361690521";"Bom dia para quem tem um JOGADOR e um TÉCNICO que é ÍDOLO e está sendo homenageado em vida pq o GRÊMIO e SUA TORCIDA rec…";2019-03-25 11:31:08
"6";6;"1";"chegou o desconto uber do dia confira desconto descontouber uber 
Ganhe desconto UBER de Rcom o codigo …";2019-03-25 11:27:54
"7";7;"0.791873693466187";"Que a nossa semana seja de alegriaamor e paz<U+2728><U+0001F64F><U+0001F3FE><U+2728><U+26BD><U+FE0F><U+2728><U+0001F1E7><U+0001F1FC><U+2728>Seguirei mais forte do que nunca<U+0001F609><U+2728><U+26BD><U+FE0F><U+2728><U+0001F44A><U+0001F3FE> gremio foco fe forca ale…";2019-03-25 11:18:12
"8";8;"0.954545438289642";"O melhor da pátria gaúcha O melhor da pátria nacional O melhor da América e o melhor do Mundo 

Simples assim po…";2019-03-25 11:17:43
"9";9;"0.899999976158142";"Bom dia para quem tem um JOGADOR e um TÉCNICO que é ÍDOLO e está sendo homenageado em vida pq o GRÊMIO e SUA T…";2019-03-25 11:15:06
"10";10;"0.445518791675568";"Alberto Guerra diretor de futebol do Grêmio Em breve deveremos trazer um zagueiro";2019-03-25 11:14:09
"11";11;"0.584550261497498";"<U+0001F1EA><U+0001F1EA> GrêmioHoje às h será inaugurada a estátua do treinador Renato Portaluppi Ela ficará localizada no lado oeste…";2019-03-25 11:01:03
"12";12;"0.69416618347168";"<U+0001F1E7><U+0001F1FC>Grêmio O estacionamento E que pode ser acessado pelo portãoestará disponível no valor de RPara quem u…";2019-03-25 10:59:58
"13";13;"0.652720093727112";"<U+0001F1E7><U+0001F1FC>Grêmio Hoje a partir das h será inaugurada a estátua de Renato Portaluppi em frente ao museu do tricolor na espla…";2019-03-25 10:59:50
"14";14;"0.795670628547668";"Que a nossa semana seja de alegriaamor e paz<U+2728><U+0001F64F><U+0001F3FE><U+2728><U+26BD><U+FE0F><U+2728><U+0001F1E7><U+0001F1FC><U+2728>Seguirei mais forte do que nunca<U+0001F609><U+2728><U+26BD><U+FE0F><U+2728><U+0001F44A><U+0001F3FE> gremio foco fe…";2019-03-25 10:57:56
"15";15;"0.538314819335938";"Pouco ofensivo o Grêmio do Renato 
Quasegoleadas em pouco mais deanos";2019-03-25 10:56:40
"16";16;"0.313503056764603";"No dia da inauguração da estátua do Fernandão a charge era sobre conta de luz e relação CUBA e EUA

Duas constataçõ…";2019-03-25 10:55:50
"17";17;"0.614645838737488";"<U+0001F4DD> Cartão vermelho para Genílson do Juventude por dar uma VOADEIRA no Pepê QUE ISSO RAPAZ
 x Grêmio
<U+0001F1EA><U+0001F1EA><U+0001F4AA><U+0001F3FC><U+26BD>…";2019-03-25 10:55:03
"18";18;"0.976190447807312";"Que nossa semana seja de alegriapaz e amor<U+2728><U+0001F64F><U+0001F3FE><U+2728><U+0001F1E7><U+0001F1FC> 
foco fe alegria paz gremio feliz todevolta em Porto Alegre Rio Gr…";2019-03-25 10:54:42
"19";19;"1";"Que nossa semana seja de alegriapaz e amor<U+2728><U+0001F64F><U+0001F3FE><U+2728><U+0001F1E7><U+0001F1FC> 
foco fe alegria paz gremio feliz todevolta em Porto Alegr…";2019-03-25 10:54:05
"20";20;"0.59475314617157";"Bom dia gremistada grupo foda unido todos jogam por todos sem salto alto sem intrigas e sem cobrança isto faz um tim…";2019-03-25 10:53:05
"21";21;"0.620967209339142";"<U+0001F1E7><U+0001F1FC>Grêmio O estacionamento E que pode ser acessado pelo portãoestará disponível no valor de RPara q…";2019-03-25 10:53:03
"22";22;"0.594052314758301";"Bom dia gremistada grupo foda unido todos jogam por todos sem salto alto sem intrigas e sem cobrança isto faz…";2019-03-25 10:51:20
"23";23;"0.473656535148621";"Se falarem que tu criticava o Marcelo Oliveira faça como eu mande esse vídeo <U+23EC><U+23EC><U+23EC>
DiaDeGremio GRExECJ Gremio Recolh…";2019-03-25 10:49:01
"24";24;"0.660356044769287";"<U+0001F1E7><U+0001F1FC>Grêmio Hoje a partir das h será inaugurada a estátua de Renato Portaluppi em frente ao museu do tricolor na…";2019-03-25 10:49:01
"25";25;"0.201712101697922";"Resumo o Grêmio passeou em campo parecia jogo treino Um baileGols no Gauchãosaldo não sabe o que é perd…";2019-03-25 10:46:49
"26";26;"0.568438351154327";"Renato Portaluppi técnico do Grêmio Sem a nossa torcida não seríamos nada Pode ter certeza que a homenagem também…";2019-03-25 10:44:17
"27";27;"0.329419791698456";"CACALO Chutou o Balde hahaha
Gremio 

Juventude não pediu Arrego";2019-03-25 10:37:23
"28";28;"0.99593597650528";"k Internos Obrigado torcida tricolor só estamos aqui por vocês e pelo GRÊMIO 
SalaDoHospicio HoraDoMateLavado …";2019-03-25 10:36:21
"29";29;"0.99593597650528";"k Internos Obrigado torcida tricolor só estamos aqui por vocês e pelo GRÊMIO 
SalaDoHospicio…";2019-03-25 10:27:31
"30";30;"0.712618231773376";"Bem que o Grêmio podia sortearsócios para atua na quintafeira
<U+0001F914>";2019-03-25 10:11:55
"31";31;"0.288170158863068";"Não precisava hein 
cc

Gremio";2019-03-25 10:09:26
"32";32;"0.352057129144669";"Renato Portaluppi técnico do Grêmio Eu quero que o Luan ultrapasse o primeiro goleador do Grêmio Quanto mais gols e…";2019-03-25 10:04:41
"33";33;"0";"GrêmioPessoal estaremos de férias até Quintafeira meio dia 

Não temos mais oq fazer 
x Isso é para desanimar a…";2019-03-25 10:00:39
"34";34;"0.648520946502686";"Minha análise sobre a goleada do Grêmio contra o Juventude porano Alfredo Jaconi

Inscrevase no canal <U+0001F447><U+0001F447>";2019-03-25 09:57:06
