"Id";"Score";"text";"data"
"1";1;"0.659675478935242";"Sentindo que vem CamaDeGato MulheresApaixonadas AFavorita VídeoGame PontoAPonto América OClone SolDeVerão ASuc…";2019-03-19 17:17:29
"2";2;"0.453040242195129";"<U+26BD><U+FE0F>AMÉRICA Conforne antecipado mais cedo no Radio Esportes ofechou seu quinto patrocínio de uniforme…";2019-03-19 15:31:28
"3";3;"0.509599506855011";"Corrupt Corporate Media CCM
MAGA WWGWGA TheGreatAwakening 
VOTE America";2019-03-19 11:50:08
"4";4;"0.515798211097717";"LigaMX <U+0001F1F2><U+0001F1FD> Posiciones
 Leonpts
 Tigrespts
 Monterreypts
 Americapts
 Tijuanapts
 …";2019-03-19 11:34:30
"5";5;"0.150707066059113";"América falha nos testes mais difíceis da temporada e precisa dar resposta SuperFC America Coelho Falhou…";2019-03-19 10:57:47
"6";6;"0.614107310771942";"O antiamericanismo brasileiro é mais vadio e viralata que qualquer acordo com os Estados Unidos da América Obs…";2019-03-19 09:44:03
"7";7;"0.581343293190002";"Dalhe Presida Bolsonaro Brasil Brazil USA America Trump Trump BolsonaroPresidente Bolsonaro";2019-03-19 08:09:04
"8";8;"1";"Marchat AM Good MorningHave A Nice Day BuenasQue tengan un Excelente Día Bom DiaDesejo…";2019-03-19 08:00:45
"9";9;"0.973754167556763";"Poruma América Livre Grande e Forte";2019-03-19 07:36:21
"10";10;"0.360385566949844";"Seguime
bailarinas pasion america cumbia tv sabado beauty instagram dancers
bailarinadepasion…";2019-03-19 00:08:32
"11";11;"0.539880216121674";"Nosso presidente jairmessiasbolsonaro na america";2019-03-18 23:58:26
"12";12;"0.432531654834747";"‘Mercosul se tornou instrumento para manter EUA longe da América Latina diz…";2019-03-18 22:37:02
"13";13;"0.63355427980423";"AméricaO time alviverde enfrentará o Guarani nesta quartafeira às h no Independência pelarodada d…";2019-03-18 22:10:33
"14";14;"0.509384989738464";"América O técnico Givanildo Oliveira analisa as alternativas no elenco do América para substituir o meia Matheus…";2019-03-18 22:10:20
"15";15;"0.511449873447418";"América América avalia opções para suprir ausência de Matheusinho em jogo contra o Guarani Expulso contra o Atl…";2019-03-18 22:07:35
"16";16;"0.201667577028275";"América Após derrota no clássico América volta ao trabalho e ainda sonha com segundo lugar no Mineiro Time pre…";2019-03-18 22:06:12
"17";17;"0";"Deprimente o discurso do presidente em Washington Não sei o que é pior se a arrogância do Lula com o …";2019-03-18 20:53:26
"18";18;"0.0860307514667511";"Nós não sabemos o que estará em Alcântara Os russos não saberão o que estará em Alcântara então podem ser…";2019-03-18 19:49:24
"19";19;"0.519484996795654";"<U+26BD><U+FE0F>AMERICA Classico e passadotrabalha forte para encarar oVia";2019-03-18 17:00:17
"20";20;"0.319119870662689";"Esses fãs de PorAmor são chatos hein Eu questionei apenas que a novela está completa em vários sites alguns a Gl…";2019-03-18 16:39:47
"21";21;"0.134696558117867";"Só que no caso de PorAmor ela está completa em tudo que é lugar já outras não Está completa em Dailymotion no ca…";2019-03-18 16:05:01
"22";22;"0.451582431793213";"<U+0001F1EA><U+0001F1F8> RealMadrid
<U+0001F1E9><U+0001F1EA> Ninguno
<U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F> ManchesterUnited
<U+0001F1EE><U+0001F1F9> Milan
<U+0001F1E8><U+0001F1F5> Ninguno
<U+0001F1F3><U+0001F1F1> Ninguno
<U+0001F1F5><U+0001F1F9> Ninguno
<U+0001F1E7><U+0001F1F7>…";2019-03-18 15:36:39
"23";23;"0.515798211097717";"LigaMX <U+0001F1F2><U+0001F1FD> Posiciones
 Leonpts
 Tigrespts
 Monterreypts
 Americapts
 Tijuanapts…";2019-03-18 13:16:08
"24";24;"0.708549678325653";"<U+0001F4FA> Hoje é dia denaLiga ai É ao vivo esporte jornalismoesportivo america…";2019-03-18 13:01:08
"25";25;"0.56604927778244";"Torcedor do Galo é esmagado ao tentar pegar camisa Abras narrou ouça SuperFC Torcedor Garotinho Galo Atletico…";2019-03-18 12:09:50
"26";26;"0.495170503854752";"Torcedor do Galo é esmagado ao tentar pegar camisa Abras narrou ouça SuperFC Torcedor Garotinho Galo…";2019-03-18 11:57:47
"27";27;"0.617689847946167";"A Numer é a nova fornecedora esportiva do América de Natal";2019-03-18 11:49:21
"28";28;"0.540066421031952";"Regular in America <U+0001F1FA><U+0001F1F8>";2019-03-18 11:33:20
"29";29;"0.383752197027206";"QUEM TE ENTENDE VELHO CAQUÉTICO
Escalou PorMariaEnjoada para deixar as tardes da gente tensas ao invés de alguma d…";2019-03-18 04:05:02
