text;created;language;id
SEGUE O LÍDER COM A SÉTIMA VITÓRIA SEGUIDA GARANTIMOS A PRIMEIRA COLOCAÇÃO NA FASE CLASSIFICATÓRIA DO CAMPEONATO…;17/03/2019 20:57;pt;1
"<U+0001F4CB> SAIU A ESCALAÇÃO Confira nossos titulares e suplentes para o jogo contra o América 

Galo CAMxAFC…";17/03/2019 18:00;pt;2
<U+0001F3DF><U+FE0F> Galo x Américatorcedores garantidos Venda presencial vai até as h neste sábado nas Lojas do Galo M…;16/03/2019 21:52;pt;3
"Lado positivo do jogo do Galo Usarei as palavras do meu amigo 

Milhares de crianças felizes tirando fotos com o…";17/03/2019 23:17;pt;4
"<U+0001F604><U+0001F3B6><U+0001F3B5><U+0001F5A4> Vibramos com alegria nas vitórias FamíliaGalo

Galo <U+0001F3F4><U+0001F3F3>";17/03/2019 23:17;pt;5
"Galo x CUei
Hoje foi top obrigado meu Deus";17/03/2019 23:16;pt;6
SEGUE O LÍDER COM A SÉTIMA VITÓRIA SEGUIDA GARANTIMOS A PRIMEIRA COLOCAÇÃO NA FASE CLASSIFICATÓRIA DO CAMPEONATO MINEIRO…;17/03/2019 23:16;pt;7
"Olha os mlke aí de novo Fazendo show com a torcida no Mineirão

Valeue<U+0001F3F4><U+0001F3F3><U+FE0F>

FalaGalo A…";17/03/2019 23:15;pt;8
Galo vence clássico emlotado e garantelugar da fase classificatória do Campeonato Mineiro;17/03/2019 23:14;pt;9
"Fala<U+0001F3F4><U+0001F3F3><U+FE0F>

<U+0001F3A5> Rede Globo 

FalaGalo Atletico Galo oMaiorCAMpeãoMineiro";17/03/2019 23:14;pt;10
"GOOOOOOOOOOOOOOOOOOOLLL DO GAAAAAAALLLLOOOOOOOOOOOOOOO 

GALO CAMxAFC oMaiorCAMpeãoMineiro<U+0001F3F4><U+0001F3F3>";17/03/2019 23:14;pt;11
"Estreamos <U+0001F64C><U+0001F3FC>
Com gols de BrendaDudaCarol e Thaís ovenceu o Rock in Rio poraem suas estr…";17/03/2019 23:12;pt;12
Abençoado seja o clubeMineiro se n for sofrido oMaiorCAMpeãoMineiro GALO AquiEGalo;17/03/2019 23:11;pt;13
"Foto muito boa para ficar só no meu computador

Galo";17/03/2019 23:11;pt;14
"<U+0001F3DF><U+FE0F> Público notorcedores Renda R 

Vamos Galo CAMxAFC oMaiorCAMpeãoMineiro aMassaJogaJu…";17/03/2019 23:10;pt;15
Gol do América GaloxAmérica CAMxAFC;17/03/2019 23:08;pt;16
<U+0001F5F3><U+FE0F> Escolhido pela Massa Diz aí quem foi o melhor em campo na vitória sobre o América nopelo Campeonato Mineiro…;17/03/2019 23:07;pt;17
<U+26BD><U+26BD><U+26BD> Um dee dois deConfira nossos gols na vitória sobre o América pelo Campeonato Mineiro…;17/03/2019 23:06;pt;18
estreia com goleada na Copa BH;17/03/2019 23:05;pt;19
marca dois e se isola na artilharia do Estadual;17/03/2019 23:05;pt;20
"<U+0001F5A4> Meta de vida FamíliaGalo 

<U+0001F4F8> Rafa Palhares no Instagram 

Galo";17/03/2019 23:01;pt;21
