text;created;language;id
A IMAGEM DO CRUZEIRO RESPLANDECE <U+0001F535><U+26AA><U+FE0F><U+0001F98A> TUPxCRU NasBatalhasComOCruzeiro;16/03/2019 18:54;pt;1
"BOLA EM JOGO EM JUIZ DE FORA

COMEÇA TUPI X CRUZEIRO PELO CAMPEONATO MINEIRO

VVVVVAAAAAMMMMMOOOOOSS…";16/03/2019 18:59;pt;2
"<U+0001F504>Substituição no Cruzeiro

<U+2B06><U+FE0F>Jadson
<U+2B07><U+FE0F>Rodriguinho 

Se liga na informação sobre Cruzeiro x…";16/03/2019 20:46;pt;3
Galera saiu a primeira precificação do Cartola FCKannemanncartoletas o que acharam comenta ai …;17/03/2019 16:07;pt;4
Hoje tem desfile na quadra do CO àshrspra rainha do Cruzeiro aparece lá galera eu vou desfilar;17/03/2019 16:05;pt;5
"Esse cara jamais deixou menos quede sua entrega em campo ou fora dele
Feliz aniversário ADILSON

Felicidades s…";17/03/2019 15:59;pt;6
O Cruzeiro jogou bem mas também não foi forçado por parte do Tupi…;17/03/2019 15:53;pt;7
Aagradece a todos os departamentos do Cruzeiro que nos proporcionaram momentos únicos toda vez que vem na cidade…;17/03/2019 15:51;pt;8
No AquiComBenja desse final de semana ThiagoNeves do cruzeiro fala sobre desarrascaeta no flamengo e olha que está…;17/03/2019 15:18;pt;9
"<U+0001F913>

Valewww cabuloso Mais uma Vitória pra conta

NasBatalhasComOCruzeiro Cruzeiro MeuMantoÉSagrado FechadaComOCruz…";17/03/2019 15:16;pt;10
"Reduto FanatiZeiros já adquirimos
Adquira o seu e tornase um colaborador financeiro do cruzeiro …";17/03/2019 14:42;pt;11
"Na dúvida comprei as duas 
Não dá pra saber qual a mais linda
 
Cruzeiro 
CruzeiroCabuloso
C…";17/03/2019 14:10;pt;12
Recémchegado aoo lateral esquerdo Ryan tem se destacado nos treinos e jogos preparatórios pra Copa do Brasil…;17/03/2019 13:50;pt;13
Trio Cruzeirao Cabuloso cruzeiro labestianegra cruzeirocabuloso fechadocomocruzeiro em Parque Ibirapuera Conser…;17/03/2019 13:40;pt;14
Quando tá valendo o Cruzeiro ganha hahaha;17/03/2019 13:29;pt;15
O rebaixado Tupi joga muito mal entrega dois gols para o Cruzeiro e denovo um gol solitário salva o time de azul…;17/03/2019 13:11;pt;16
"<U+0001F504>Substituição no Cruzeiro

<U+2B06><U+FE0F>Jadson
<U+2B07><U+FE0F>Rodriguinho 

Se liga na informação sobre Cruzeiro x Dep Lara…";17/03/2019 13:06;pt;17
Thiago Neves confirma contatos de Grêmio e Corinthians e diz que Arrascaeta brecou sua saída do Cruzeiro;17/03/2019 12:03;pt;18
"GOLAÇO de FALTA BoaCruzeiro 
Melhores Momentos<U+26BD> com Bom Humor FM<U+0001F602><U+0001F602><U+0001F602>
Assista no Canal Caveira Azul d…";17/03/2019 11:47;pt;19
"E VC ESTÁ ILUDIDO TB 











cruzeirodadepre Cruzeiro CruzeiroEsporteClube MaiordeMinas…";17/03/2019 11:37;pt;20
<U+0001F535>Atenção torcida Celeste meu pós de Cruzeiro x Tupi CRUZEIRO NasBatalhasComOCruzeiro;17/03/2019 11:31;pt;21
No AquiComBenja desse final de semana ThiagoNeves do cruzeiro fala sobre desarrascaeta no flamengo e olha que…;17/03/2019 11:17;pt;22
"Quando o Cabuloso ganha nois fica como
Haha só o Mano <U+0001F499>
Aaaaah ser Cruzeiro é bom demais <U+0001F3B5><U+0001F499><U+0001F43A>
Bom diaaaa naç…";17/03/2019 10:55;pt;23
E REPETIMOS MAIS UMA VEZ NUNCA DUVIDEM DO CRUZEIRO O CRUZEIRO CHEGA O CRUZEIRO CONQUISTA;17/03/2019 05:54;pt;24
"Esse grande projeto da conta Digi com o time Cruzeiro promete hein

Confira a reportagem exclusiva do …";17/03/2019 05:04;pt;25
Assistir aos jogos dojá é bom Assistir aos jogos do Cruzeiro ao lado de grandes cruzeirenses como o…;17/03/2019 03:43;pt;26
Acompanhe conosco a PRECIFICAÇÃO do Cartola FCPróxima segundaQuem arisca o valor de Ricardo Goulart…;17/03/2019 03:37;pt;27
Assistir aos jogos dojá é bom Assistir aos jogos do Cruzeiro ao lado de grandes cruzeirenses é melhor…;17/03/2019 03:34;pt;28
Aagradece a todos os departamentos do Cruzeiro que nos proporcionaram momentos únicos toda vez que vem…;17/03/2019 03:03;pt;29
Hoje h tem mais um AquiComBenja daqueles que vai dar o que falar ThiagoNeves do Cruzeiro falando tudo e um pouco…;17/03/2019 02:53;pt;30
"KoéGidão <U+0001F60E> 
Haha maispontos pra nós
Boaaaa Cruzeiro <U+0001F499><U+0001F43A>
NasBatalhasComOCruzeiro 
CruzeiroCabuloso 
Cruzeiro 
VamosL…";17/03/2019 02:47;pt;31
"<U+0001F504>Substituição no Cruzeiro

<U+2B06><U+FE0F>David
<U+2B07><U+FE0F>Robinho 

Se liga na informação sobre Cruzeiro x Dep Lara

CON…";17/03/2019 01:48;pt;32
"BOLA EM JOGO EM JUIZ DE FORA

COMEÇA TUPI X CRUZEIRO PELO CAMPEONATO MINEIRO

VVVVVAAAAAMMMMMOOOOOSSSSS…";17/03/2019 01:39;pt;33
"Agora nacom Tupi x Cruzeiro Vale a vida pro Tupi mas o Cruzeiro vai com time titular
Promete
…";17/03/2019 01:21;pt;34
Não sou cruzeirense e que me desculpe o Tupi mas jantei hoje com o time dolá na potenciadosuljfDa hor…;17/03/2019 00:12;pt;35
VoleiNoSporTV o CRUZEIRO está escolhendo adversario pra fase final Ta jogando muito mal hoje Desrespeito com a torcida isso é FEIO<U+0001F623>;16/03/2019 23:57;pt;36
VoleiNoSporTV o CRUZEIRO ainda vai virar;16/03/2019 23:52;pt;37
Final de jogo TUPXCRU em um treino de luxo pro Cruzeiro e quem foi o melhor em campo;16/03/2019 23:33;pt;38
VoleiNoSporTVtem uma explicação porque o CRUZEIROnestes ultimos jogos está pior noset e ate perdendo noset;16/03/2019 22:50;pt;39
Com cinco gols no Mineiro Fred agora iguala Ricardo Oliveira e Alerrandro na artilharia do Estadual Emele foi o…;16/03/2019 22:45;pt;40
"HOJE TEM CRUZEIRO <U+0001F535><U+26AA><U+0001F98A>

Cruzeiro NasBatalhasComOCruzeiro HojeTemCruzeiro Edits

<U+0001F4FD><U+FE0F> Gol de RafinhaCruzeiro x Tupi…";16/03/2019 22:45;pt;41
