"Id";"Score";"text";"data"
"1";1;"0.5";"IndianerNena";2019-03-17 20:41:33
"2";2;"0.497333407402039";"Eu gostei da escolha de PorAmor mas poderia ser reprisado tbm AViagem HistoriaDeAmor…";2019-03-17 20:18:35
"3";3;"0.818810939788818";"Its Vegas Baby
 
<U+0001F4F8> Link na bio para mais fotos <U+0001F4F8>

earth travel photo turismo viagem eua usa america mytr…";2019-03-17 20:15:43
"4";4;"0.818810939788818";"Its Vegas Baby
 
<U+0001F4F8> Link na bio para mais fotos <U+0001F4F8>

earth travel photo turismo viagem eua usa america…";2019-03-17 18:52:13
"5";5;"0.570878744125366";"AtléticoMGxAméricaMG 

<U+0001F4F7> Dudu Macedo

Atletico AtleticoMG América AméricaMG Coelho…";2019-03-17 18:22:09
"6";6;"0.343972325325012";"Quero só ver o público do CruzeiroMG Futebol Club vaidoso e do AméricaMG de BH que jogarão em casa na próxima r…";2019-03-17 18:07:08
"7";7;"0.46169501543045";"Um Atlético ainda frágil que oferece espaços e com dificuldades Venceu o América e a garantia de melhor campanh…";2019-03-17 18:06:30
"8";8;"0.357699692249298";"<U+0001F30D>PTBR<U+0001F30E> MundoMS
 fotos que mostram o quanto a América esta fria no momentoVejaemgt";2019-03-17 18:02:59
"9";9;"0.43801885843277";"definitivamente líder do Mineiro Fica a briga pelo segundo lugarouTudo para a…";2019-03-17 17:57:16
"10";10;"0.604376077651978";"Como invitados especiales SandraampRicardo en la Semana Temática Nós e o mundo América en Programa de Tv present…";2019-03-17 17:46:25
"11";11;"0.600970923900604";"Público e renda parax 

Presentespessoas
Renda R
atletico america galo coelho";2019-03-17 17:42:20
"12";12;"0.516665518283844";"Estimase que aproximadamentetoneladas de poeira do Saara atravessem o Atlântico para chegar à América Parte…";2019-03-17 17:33:47
"13";13;"0.416374683380127";"Olha o espaço vazio que deixaram em volta do torcida do AméricaMG de BH Tem umaspessoas ali";2019-03-17 16:23:23
"14";14;"0.454278111457825";"Só da América";2019-03-17 16:09:49
"15";15;"0.527288973331451";"AtléticoMgVictorGugaRéverRabelloFábio santosZé welisonAdilson e CazaresTeransLuan e Alerrandro…";2019-03-17 15:54:28
"16";16;"0.542173147201538";"AtléticoVictor Guga Rever Rabello e Fabio Santos Zé Welison Adilson e Cazares Terans Luan e Alerrandro…";2019-03-17 15:37:30
"17";17;"0.61369776725769";"ATLETICO Victor Guga Rever Rabello e Fabio Santos Zé Welison Adilson e Cazares Terans Luan e Alerrandro…";2019-03-17 15:33:34
"18";18;"0.487928777933121";"RT MOM<U+2665><U+0001F1FA><U+0001F1F8>News TopNews insurancenews Worldnews<U+261E>ACADIA INSURANCE SUCKS";2019-03-17 15:25:47
"19";19;"0.113447099924088";"Putzna hora do jogo tenho q ir p hospital Galo e america";2019-03-17 15:09:10
"20";20;"1";"Hoje tem Clássico na GloboMinas
Atlético x América
Vale a liderança do CampeonatoMineiro
h depois da Temperatura…";2019-03-17 13:49:49
"21";21;"1";"Hoje tem Clássico na GloboMinas
Atlético x América
Vale a liderança do CampeonatoMineiro
h depois da…";2019-03-17 12:00:00
"22";22;"0.906757712364197";"A verdadeira ameaça à Paz e à segurança da região são as declarações e ações irresponsáveis <U+200B><U+200B>do governo dos…";2019-03-17 09:57:02
"23";23;"0.523992121219635";"Galo e Coelho duelam no Mineirão contra os jejuns que incomodam campeonatomineiro galo coelho atlético américa…";2019-03-17 09:46:10
"24";24;"0.515835404396057";"Mercado Municipal de Curitiba um ponto turístico da cidade";2019-03-17 09:30:33
