"Id";"Score";"text";"data"
"1";1;"0.387901425361633";"Na partida de sábado contra o Tupi Mano Menezes e sua Comissão Técnica completaramvitórias a frente do…";2019-03-18 15:56:32
"2";2;"1";"Bom dia Nação Azul <U+0001F535><U+26AA><U+FE0F><U+0001F98A>
Depois da vitória sábado o Cruzeiro mantém os trabalhos com foco total no Campeonato M…";2019-03-18 09:15:21
"3";3;"0.373780608177185";"Na quartafeira o Cruzeiro estreia na Copa do Brasil Sub fora de casa contra o ConfiançaSE 

O atacante Ran…";2019-03-19 09:00:00
"4";4;"0.653786540031433";"Um dos heróis dos anostroca idade hoje
Polivalente guerreiro autor de gol de título nacional

Esse é CLEISSON…";2019-03-19 19:19:58
"5";5;"0.8642697930336";"<U+26BD><U+FE0F> Cruzeiro terá o pedido atendido e vai jogar o duelo das quartasdefinal do Mineiro no sábado às h no Mineirão…";2019-03-19 19:14:53
"6";6;"0.269481956958771";"Caniggia já dizia Lá Bestia Negra del continente Cruzeiro";2019-03-19 18:47:54
"7";7;"0";"Será que só eu tô passando mal de ansiedade pra chegar o próximo jogo do Cruzeiro na LibertadoresCruzeiro";2019-03-19 18:32:25
"8";8;"0.393741965293884";"Na partida de sábado contra o Tupi Mano Menezes e sua Comissão Técnica completaramvitórias a frente do Cruzeiro

Para…";2019-03-19 18:23:16
"9";9;"0.8642697930336";"<U+26BD><U+FE0F> Cruzeiro terá o pedido atendido e vai jogar o duelo das quartasdefinal do Mineiro no sábado às h no Minei…";2019-03-19 18:08:06
"10";10;"0.542785048484802";"<U+26BD><U+FE0F> Cruzeiro fecha a preparação para encarar a Caldense com treino agora na Toca II Sidnei Lobo comanda a atividade já…";2019-03-19 18:00:39
"11";11;"0.502121448516846";"A TECNOLOGIA PRECISA DE TECNOLOGIA";2019-03-19 18:00:13
"12";12;"0.430990546941757";"Tivemos que criar uma campanha no curso escolhemos um tema atual que deve ser dado uma importância muito maior 

NO ESTÁD…";2019-03-19 17:31:59
"13";13;"0.675459325313568";"Grande reforço para a equipe Digi CruzeiroRaposão e Raposinho mostrando para os torcedores doque a N…";2019-03-19 16:57:28
"14";14;"0.373780608177185";"Na quartafeira o Cruzeiro estreia na Copa do Brasil Sub fora de casa contra o ConfiançaSE 

O atacante Raniel mandou…";2019-03-19 16:48:29
"15";15;"0.5";"Cruzeiro <U+0001F535><U+26AA>
Cruzeiro";2019-03-19 16:32:19
"16";16;"0.5";"Cruzeiro <U+0001F535><U+26AA> 
cruzeiro";2019-03-19 16:31:48
"17";17;"0.492214560508728";"<U+26BD><U+FE0F> Cruzeiro fecha a preparação para encarar a Caldense com treino agora na Toca II Sidnei Lobo comanda a atividad…";2019-03-19 15:49:51
"18";18;"0.592935264110565";"Saiu mais precificações de jogadores do cartola fc comenta o que acharam

cartolafc cartolafccartola …";2019-03-19 15:40:34
"19";19;"1";"José o cruzeirense<U+0001F631><U+0001F631><U+0001F423><U+0001F425><U+0001F60D><U+0001F618><U+0001F499><U+2764><U+FE0F>
“Canta pra mamãe amor”<U+0001F497><U+0001F497>

cruzeiro nature Deusnocontrole";2019-03-19 15:38:19
"20";20;"0.592935264110565";"Saiu mais precificações de jogadores do cartola fc comenta o que acharam

cartolafc cartolafc…";2019-03-19 15:36:57
"21";21;"0.581680178642273";"Informações sobre o Cruzeiro com o repórter";2019-03-19 15:24:07
"22";22;"1";"Meu sorriso quando lembro que amanhã tem CRUZEIROOOOO <U+0001F601><U+0001F499>
Por toda vida vou te acompanhar <U+0001F3B5><U+0001F499><U+0001F43A>
Cruzeiro…";2019-03-19 14:59:53
"23";23;"0.531796813011169";"Afez uma critica com indireta ao Vice Presidente Itair Machado do Cruzeiro";2019-03-19 14:51:43
"24";24;"0.0894945859909058";"Adversário do Cruzeiro na Libertadores sofre gol bizarro e segue em crise Veja o vídeo Cruzeiro SuperFC Libertadore…";2019-03-19 14:44:57
"25";25;"0.143719434738159";"É uma VERGONHA para ae para os clubes brasileiro não mandar seus treinadores para a reunião na…";2019-03-19 14:34:00
"26";26;"0.424403190612793";"Sem cara de sonoSimbora treinar <U+0001F3CB><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F3D0>
Não é não galera <U+0001F644><U+0001F644>



volei sadacruzeiro paixao volei…";2019-03-19 14:17:49
"27";27;"0.471838057041168";"Gostaria de Alexandre Pato no Cruzeirofechadocomocruzeiro nasbatalhascomocruzeiro raposasegueraposasdv raposaseguer…";2019-03-19 14:06:53
"28";28;"0.508959352970123";"Olha aí as torcedoras do Cruzeiro no estádio 


Mariaboleira RespeitaAsMina ParaCegoVer Cruzeiro Mulheresnofuteb…";2019-03-19 14:04:41
