"Id";"Score";"text";"data"
"1";1;"0.820784687995911";"<U+0001F3F4><U+0001F3F3> GaloAnos Grande PaixãoDoPovo e maior orgulho do Estado de Minas Gerais o Clube Atlético Mineiro comemora…";2019-03-25 00:01:12
"2";2;"0.528920531272888";"Ricardo aponte para a torcida que levou mais demil pessoas aonos últimos dois jogos 

Aqui é Galo…";2019-03-24 21:37:34
"3";3;"0.504117488861084";"<U+0001F3A4> Time de preto de favelado

<U+0001F3B6> Mas quando jogafica lotado 

Galo GaloAnos";2019-03-24 21:58:59
"4";4;"0.776872515678406";"<U+0001F3F4><U+0001F3F3> GaloAnos Grande PaixãoDoPovo e maior orgulho do Estado de Minas Gerais o Clube Atlético Mineiro comemoraanos d…";2019-03-25 11:27:33
"5";5;"0.790976941585541";"Seguindo o desafio das camisas aí está a minha foto Viva o Galo <U+0001F413><U+0001F413><U+0001F413>GaloAnos GALO…";2019-03-25 11:27:13
"6";6;"0.626231908798218";"<U+2714> Festa da Massa pelosanos

<U+2714> Classificação para a semifinal do Mineiro 

<U+2714> Recorde de público doem …";2019-03-25 11:27:08
"7";7;"0.179120361804962";"<U+0001F3A4> SEMPRE VIAJEI NA IDEIA DO UMA VEZ ATÉ MORRER <U+0001F3B6>

<U+0001F6A8> Alerta de spoiler O poetatraz uma prévia do clipe da mú…";2019-03-25 11:26:40
"8";8;"0.446112811565399";"uma nação de joelhos pedindo liberdade
Ao único que tem a chave ele ouviu ela chegou
Libertador
Eu estava…";2019-03-25 11:26:23
"9";9;"1";"Parabéns a todos que torcem por esse time e fazem a massa Feliz Viva o Galão da massa
GALO GaloAnos…";2019-03-25 11:24:00
"10";10;"0.842519104480743";"AQUI É GALO MAIOR E MELHOR DE MINAS GERAIS Galoanos <U+0001F3F4><U+0001F3F3>";2019-03-25 11:22:04
"11";11;"0.627076506614685";"GaloAnos oMaiorCAMpeãoMineiro Galo Galo Nunca será só futebol é muito mais que um jogo é Clube Atlético Mineiro";2019-03-25 11:21:02
"12";12;"0.987068951129913";"O gol perfeito do Ricardo Oliveira por um ângulo da torcida
Galo";2019-03-25 11:20:59
"13";13;"0.528920531272888";"Ricardo aponte para a torcida que levou mais demil pessoas aonos últimos dois jogos 

Aqui é Galo PaixãoD…";2019-03-25 11:19:28
"14";14;"0.529046833515167";"<U+0001F3A4> Time de preto de favelado
<U+0001F3B6> Mas quando joga Mineirão fica lotado 
Galo
GaloAnos";2019-03-25 11:19:12
"15";15;"0.538975477218628";"Aleixanor Alves Pereira Fundador do Clube Atlético Mineiro
GaloAnos Galo <U+0001F382><U+0001F413><U+0001F44F>";2019-03-25 11:18:52
"16";16;"0.898435473442078";"Parabéns Galo AquiÉGalo Atletico";2019-03-25 11:18:52
"17";17;"1";"Parabéns ClubeMineiro 

Parabéns massa que carrega esse clube nas costas por anos 

EU TE AMO GALO";2019-03-25 11:16:28
"18";18;"0.862658798694611";"<U+0001F3B6><U+0001F3A4> AMIGO O GALO É DOIDO

A Seleção do Rap agitou oe apresentou a música ‘Contra o Vento’ em homenagem aos nosso…";2019-03-25 11:16:00
